"",BBK01.OELM05N,BBK01.OELM05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:53,
2002-01,0.029,
2002-04,0.031,
2002-07,0.024,
2002-10,0.028,
2003-01,0.034,
2003-04,0.033,
2003-07,0.033,
2003-10,0.038,
2004-01,0.035,
2004-04,0.035,
2004-07,0.039,
2004-10,0.034,
2005-01,0.061,
2005-04,0.061,
2005-07,0.060,
2005-10,0.061,
2006-01,0.057,
2006-04,0.057,
2006-07,0.061,
2006-10,0.060,
2007-01,0.062,
2007-04,0.063,
2007-07,0.065,
2007-10,0.064,
2008-01,0.065,
2008-04,0.062,
2008-07,0.276,
2008-10,0.141,
2009-01,0.129,
2009-04,0.132,
2009-07,0.123,
2009-10,0.123,
2010-01,0.135,
2010-04,0.134,
2010-07,0.127,
2010-10,0.122,
2011-01,0.129,
2011-04,0.128,
2011-07,0.141,
2011-10,0.135,
2012-01,0.133,
2012-04,0.138,
2012-07,0.135,
2012-10,0.134,
2013-01,0.131,
2013-04,0.236,
2013-07,0.233,
2013-10,0.220,
2014-01,0.218,
2014-04,0.090,
2014-07,0.107,
