"",BBK01.OELB23O,BBK01.OELB23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:37,
2002-01,0.038,
2002-04,0.041,
2002-07,0.047,
2002-10,0.049,
2003-01,0.055,
2003-04,0.058,
2003-07,0.056,
2003-10,0.061,
2004-01,0.040,
2004-04,0.041,
2004-07,0.042,
2004-10,0.047,
2005-01,0.048,
2005-04,0.036,
2005-07,0.036,
2005-10,0.037,
2006-01,0.036,
2006-04,0.041,
2006-07,0.038,
2006-10,0.050,
2007-01,0.049,
2007-04,0.049,
2007-07,0.051,
2007-10,0.050,
2008-01,0.047,
2008-04,0.047,
2008-07,0.050,
2008-10,0.053,
2009-01,0.054,
2009-04,0.053,
2009-07,0.057,
2009-10,0.054,
2010-01,0.059,
2010-04,0.059,
2010-07,0.053,
2010-10,0.040,
2011-01,0.039,
2011-04,0.027,
2011-07,0.042,
2011-10,0.056,
2012-01,0.064,
2012-04,0.072,
2012-07,0.072,
2012-10,0.072,
2013-01,0.060,
2013-04,0.060,
2013-07,0.062,
2013-10,0.064,
2014-01,0.068,
2014-04,0.079,
2014-07,0.079,
