"",BBK01.OEXK02U,BBK01.OEXK02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:09,
2002-01,0.088,
2002-04,0.113,
2002-07,0.121,
2002-10,0.134,
2003-01,0.141,
2003-04,0.140,
2003-07,0.150,
2003-10,0.156,
2004-01,0.151,
2004-04,0.154,
2004-07,0.158,
2004-10,0.170,
2005-01,0.163,
2005-04,0.168,
2005-07,0.183,
2005-10,0.196,
2006-01,0.189,
2006-04,0.194,
2006-07,0.200,
2006-10,0.210,
2007-01,0.205,
2007-04,0.366,
2007-07,0.214,
2007-10,0.218,
2008-01,0.208,
2008-04,0.198,
2008-07,0.193,
2008-10,0.218,
2009-01,0.244,
2009-04,0.265,
2009-07,0.285,
2009-10,0.305,
2010-01,0.302,
2010-04,0.350,
2010-07,0.360,
2010-10,0.370,
2011-01,0.372,
2011-04,0.371,
2011-07,0.390,
2011-10,0.396,
2012-01,0.388,
2012-04,0.391,
2012-07,0.399,
2012-10,0.407,
2013-01,0.416,
2013-04,0.413,
2013-07,0.432,
2013-10,0.459,
2014-01,0.459,
2014-04,0.452,
2014-07,0.461,
