"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.NL.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.NL.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Netherlands,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:15,
2009-09,41723,
2009-10,42162,
2009-11,43661,
2009-12,43683,
2010-01,48964,
2010-02,49332,
2010-03,49615,
2010-04,46070,
2010-05,46743,
2010-06,47590,
2010-07,48116,
2010-08,49459,
2010-09,49370,
2010-10,49196,
2010-11,48343,
2010-12,49010,
2011-01,49072,
2011-02,49066,
2011-03,49339,
2011-04,49290,
2011-05,49469,
2011-06,49396,
2011-07,49916,
2011-08,50916,
2011-09,50864,
2011-10,51801,
2011-11,50562,
2011-12,51648,
2012-01,52259,
2012-02,53123,
2012-03,54313,
2012-04,54392,
2012-05,55418,
2012-06,55708,
2012-07,58336,
2012-08,59647,
2012-09,60214,
2012-10,59963,
2012-11,60051,
2012-12,60336,
2013-01,59191,
2013-02,59380,
2013-03,60503,
2013-04,61129,
2013-05,61366,
2013-06,59942,
2013-07,60405,
2013-08,60213,
2013-09,60382,
2013-10,60785,
2013-11,60568,
2013-12,59880,
2014-01,60762,
2014-02,60647,
2014-03,62508,
2014-04,63039,
2014-05,63751,
2014-06,63143,
2014-07,63426,
2014-08,64566,
2014-09,63477,
2014-10,63101,
2014-11,62816,
