"",BBK01.OEAF36R,BBK01.OEAF36R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:47,
2002-01,0.647,
2002-04,0.667,
2002-07,0.678,
2002-10,0.714,
2003-01,0.694,
2003-04,0.705,
2003-07,0.622,
2003-10,0.618,
2004-01,0.601,
2004-04,0.609,
2004-07,0.622,
2004-10,0.634,
2005-01,0.605,
2005-04,0.614,
2005-07,0.621,
2005-10,0.627,
2006-01,0.600,
2006-04,0.614,
2006-07,0.619,
2006-10,0.619,
2007-01,0.629,
2007-04,0.636,
2007-07,0.640,
2007-10,0.646,
2008-01,0.649,
2008-04,0.672,
2008-07,0.691,
2008-10,0.701,
2009-01,0.693,
2009-04,0.701,
2009-07,0.705,
2009-10,0.709,
2010-01,0.718,
2010-04,0.734,
2010-07,0.730,
2010-10,0.770,
2011-01,0.771,
2011-04,0.782,
2011-07,0.804,
2011-10,0.841,
2012-01,0.845,
2012-04,0.864,
2012-07,0.869,
2012-10,0.832,
2013-01,0.841,
2013-04,0.864,
2013-07,0.875,
2013-10,0.861,
2014-01,0.873,
2014-04,0.878,
2014-07,0.892,
