"",BBK01.CEHD03,BBK01.CEHD03_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:46,
1991-01,-8.6,
1991-04,11.1,
1991-07,-3.1,
1991-10,-14.4,
1992-01,34.8,
1992-04,7.6,
1992-07,12.8,
1992-10,4.2,
1993-01,21.3,
1993-04,25.8,
1993-07,-6.0,
1993-10,0.9,
1994-01,-34.4,
1994-04,12.9,
1994-07,-31.3,
1994-10,25.6,
1995-01,-16.7,
1995-04,1.4,
1995-07,4.5,
1995-10,23.5,
1996-01,-7.0,
1996-04,1.9,
1996-07,14.0,
1996-10,11.8,
1997-01,1.6,
1997-04,27.1,
1997-07,-27.8,
1997-10,20.3,
1998-01,17.1,
1998-04,17.7,
1998-07,5.0,
1998-10,-15.7,
1999-01,60.9,
1999-04,-9.3,
1999-07,-14.4,
1999-10,-22.9,
2000-01,25.7,
2000-04,0.9,
2000-07,-26.6,
2000-10,17.3,
2001-01,33.0,
2001-04,16.6,
2001-07,17.5,
2001-10,-27.3,
2002-01,-20.8,
2002-04,32.1,
2002-07,3.5,
2002-10,8.0,
2003-01,33.7,
2003-04,18.4,
2003-07,-28.0,
2003-10,-21.1,
2004-01,20.5,
2004-04,-7.0,
2004-07,16.4,
2004-10,-54.1,
2005-01,66.2,
2005-04,25.5,
2005-07,-34.6,
2005-10,-44.3,
2006-01,36.9,
2006-04,0.5,
2006-07,2.0,
2006-10,21.8,
2007-01,29.6,
2007-04,17.1,
2007-07,9.0,
2007-10,4.7,
2008-01,27.0,
2008-04,-29.7,
2008-07,83.2,
2008-10,71.2,
2009-01,-100.0,
2009-04,55.4,
2009-07,-57.6,
2009-10,-11.0,
2010-01,60.9,
2010-04,99.6,
2010-07,-77.1,
2010-10,10.7,
2011-01,-23.3,
2011-04,-1.7,
2011-07,136.5,
2011-10,-51.4,
2012-01,256.7,
2012-04,42.9,
2012-07,-39.6,
2012-10,-117.8,
2013-01,-62.7,
2013-04,-21.1,
2013-07,-31.0,
2013-10,-56.4,
2014-01,-8.3,
