"",BBK01.OEAE13J,BBK01.OEAE13J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:38,
2002-01,0.248,
2002-04,0.256,
2002-07,0.278,
2002-10,0.289,
2003-01,0.287,
2003-04,0.258,
2003-07,0.254,
2003-10,0.238,
2004-01,0.212,
2004-04,0.207,
2004-07,0.215,
2004-10,0.248,
2005-01,0.267,
2005-04,0.265,
2005-07,0.248,
2005-10,0.218,
2006-01,0.229,
2006-04,0.241,
2006-07,0.181,
2006-10,0.171,
2007-01,0.171,
2007-04,0.214,
2007-07,0.185,
2007-10,0.205,
2008-01,0.230,
2008-04,0.276,
2008-07,0.304,
2008-10,0.262,
2009-01,0.252,
2009-04,0.229,
2009-07,0.227,
2009-10,0.220,
2010-01,0.238,
2010-04,0.222,
2010-07,0.197,
2010-10,0.255,
2011-01,0.248,
2011-04,0.266,
2011-07,0.238,
2011-10,0.241,
2012-01,0.226,
2012-04,0.278,
2012-07,0.302,
2012-10,0.317,
2013-01,0.335,
2013-04,0.320,
2013-07,0.312,
2013-10,0.336,
2014-01,0.357,
2014-04,0.323,
2014-07,0.237,
