"",BBSF2.M.1.S.I1252.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:55,
2009-09,663,
2009-10,178,
2009-11,160,
2009-12,403,
2010-01,1112,
2010-02,285,
2010-03,909,
2010-04,362,
2010-05,128,
2010-06,124,
2010-07,445,
2010-08,254,
2010-09,558,
2010-10,458,
2010-11,265,
2010-12,2185,
2011-01,122,
2011-02,32,
2011-03,95,
2011-04,256,
2011-05,83,
2011-06,78,
2011-07,1460,
2011-08,51,
2011-09,55,
2011-10,158,
2011-11,85,
2011-12,1002,
2012-01,78,
2012-02,754,
2012-03,261,
2012-04,80,
2012-05,400,
2012-06,343,
2012-07,299,
2012-08,127,
2012-09,4960,
2012-10,245,
2012-11,237,
2012-12,600,
2013-01,1192,
2013-02,220,
2013-03,158,
2013-04,438,
2013-05,690,
2013-06,100,
2013-07,211,
2013-08,203,
2013-09,191,
2013-10,813,
2013-11,439,
2013-12,725,
2014-01,97,
2014-02,489,
2014-03,847,
2014-04,157,
2014-05,242,
2014-06,61,
2014-07,37,
2014-08,195,
2014-09,137,
2014-10,618,
2014-11,695,
