"",BBFN1.M.DE.N.1.A.B0.S1P.H1.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.H1.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from credit terms granted / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:09,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,16.251,
1995-02,16.247,
1995-03,17.034,
1995-04,16.398,
1995-05,16.702,
1995-06,16.617,
1995-07,15.882,
1995-08,15.404,
1995-09,16.198,
1995-10,16.093,
1995-11,16.647,
1995-12,15.625,
1996-01,15.801,
1996-02,15.860,
1996-03,16.548,
1996-04,16.435,
1996-05,16.354,
1996-06,16.623,
1996-07,16.671,
1996-08,15.488,
1996-09,16.424,
1996-10,16.709,
1996-11,17.716,
1996-12,17.091,
1997-01,17.065,
1997-02,16.707,
1997-03,17.424,
1997-04,17.797,
1997-05,17.481,
1997-06,18.043,
1997-07,17.815,
1997-08,16.196,
1997-09,18.200,
1997-10,19.238,
1997-11,19.799,
1997-12,18.252,
1998-01,18.117,
1998-02,18.791,
1998-03,19.603,
1998-04,19.660,
1998-05,19.723,
1998-06,19.886,
1998-07,19.821,
1998-08,18.514,
1998-09,19.487,
1998-10,19.896,
1998-11,20.130,
1998-12,19.352,
1999-01,18.918,
1999-02,19.596,
1999-03,20.569,
1999-04,20.184,
1999-05,20.456,
1999-06,21.245,
1999-07,20.291,
1999-08,19.941,
1999-09,21.250,
1999-10,22.049,
1999-11,22.804,
1999-12,22.141,
2000-01,22.286,
2000-02,23.484,
2000-03,24.667,
2000-04,24.211,
2000-05,25.091,
2000-06,25.133,
2000-07,24.154,
2000-08,23.916,
2000-09,24.985,
2000-10,25.870,
2000-11,26.607,
2000-12,24.562,
2001-01,25.591,
2001-02,25.369,
2001-03,26.245,
2001-04,24.956,
2001-05,26.086,
2001-06,26.014,
2001-07,25.700,
2001-08,25.098,
2001-09,26.080,
2001-10,26.259,
2001-11,27.026,
2001-12,25.318,
2002-01,25.591,
2002-02,25.243,
2002-03,25.076,
2002-04,25.347,
2002-05,24.601,
2002-06,25.784,
2002-07,24.784,
2002-08,22.972,
2002-09,24.465,
2002-10,25.194,
2002-11,25.327,
2002-12,23.947,
2003-01,24.568,
2003-02,23.634,
2003-03,24.809,
2003-04,25.149,
2003-05,24.117,
2003-06,24.366,
2003-07,23.765,
2003-08,22.718,
2003-09,23.735,
2003-10,24.598,
2003-11,25.882,
2003-12,24.530,
2004-01,23.906,
2004-02,24.698,
2004-03,25.872,
2004-04,24.807,
2004-05,28.141,
2004-06,29.693,
2004-07,28.224,
2004-08,26.611,
2004-09,28.483,
2004-10,29.320,
2004-11,31.060,
2004-12,28.817,
2005-01,28.906,
2005-02,28.537,
2005-03,30.597,
2005-04,29.433,
2005-05,29.289,
2005-06,30.006,
2005-07,30.150,
2005-08,29.026,
2005-09,31.276,
2005-10,31.862,
2005-11,32.685,
2005-12,30.623,
2006-01,32.115,
2006-02,31.429,
2006-03,32.959,
2006-04,31.703,
2006-05,31.953,
2006-06,33.297,
2006-07,31.725,
2006-08,30.657,
2006-09,32.958,
2006-10,33.584,
2006-11,35.383,
2006-12,33.106,
2007-01,35.435,
2007-02,35.630,
2007-03,38.012,
2007-04,35.669,
2007-05,35.923,
2007-06,36.425,
2007-07,34.771,
2007-08,33.531,
2007-09,35.000,
2007-10,36.240,
2007-11,37.257,
2007-12,34.831,
2008-01,35.708,
2008-02,37.651,
2008-03,38.892,
2008-04,38.820,
2008-05,38.794,
2008-06,39.592,
2008-07,37.971,
2008-08,35.511,
2008-09,37.654,
2008-10,38.261,
2008-11,37.695,
2008-12,34.828,
2009-01,34.196,
2009-02,32.870,
2009-03,33.865,
2009-04,32.158,
2009-05,32.463,
2009-06,34.008,
2009-07,32.678,
2009-08,31.108,
2009-09,31.565,
2009-10,32.059,
2009-11,33.013,
2009-12,31.587,
2010-01,30.352,
2010-02,30.768,
2010-03,33.625,
2010-04,31.194,
2010-05,32.596,
2010-06,34.303,
2010-07,33.028,
2010-08,31.143,
2010-09,34.625,
2010-10,34.671,
2010-11,35.141,
2010-12,34.652,
2011-01,33.339,
2011-02,35.592,
2011-03,36.643,
2011-04,35.515,
2011-05,36.143,
2011-06,37.848,
2011-07,36.182,
2011-08,34.173,
2011-09,37.529,
2011-10,36.976,
2011-11,37.708,
2011-12,36.771,
2012-01,36.279,
2012-02,37.510,
2012-03,38.756,
2012-04,36.810,
2012-05,37.092,
2012-06,38.133,
2012-07,37.659,
2012-08,35.616,
2012-09,37.886,
2012-10,38.033,
2012-11,39.992,
2012-12,37.158,
2013-01,36.513,
2013-02,36.956,
2013-03,38.416,
2013-04,36.292,
2013-05,34.708,
2013-06,36.278,
2013-07,34.110,
2013-08,34.577,
2013-09,36.744,
2013-10,35.870,
2013-11,37.904,
2013-12,37.439,
2014-01,35.938,
2014-02,36.624,
2014-03,39.015,
2014-04,37.573,
2014-05,36.104,
2014-06,38.394,
2014-07,37.563,
2014-08,36.097,
2014-09,38.828,
2014-10,38.376,
2014-11,39.963,
2014-12,37.814,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
