"",BBFB1.Q.N.DE.CH.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:43,
1991-01,2868.690,
1991-04,2968.899,
1991-07,3004.621,
1991-10,3071.936,
1992-01,2941.549,
1992-04,2749.481,
1992-07,2996.842,
1992-10,3117.788,
1993-01,2701.542,
1993-04,2701.467,
1993-07,2698.962,
1993-10,3037.834,
1994-01,2834.260,
1994-04,2981.826,
1994-07,3034.439,
1994-10,3378.639,
1995-01,3054.718,
1995-04,3200.073,
1995-07,3121.308,
1995-10,3501.960,
1996-01,3164.976,
1996-04,3130.852,
1996-07,3205.470,
1996-10,3889.590,
1997-01,3050.791,
1997-04,3383.115,
1997-07,3415.060,
1997-10,3721.553,
1998-01,3644.133,
1998-04,3610.071,
1998-07,3644.177,
1998-10,3953.846,
1999-01,3643.915,
1999-04,3698.669,
1999-07,3890.219,
1999-10,4436.325,
2000-01,4139.083,
2000-04,4192.530,
2000-07,4337.394,
2000-10,4810.302,
2001-01,4598.155,
2001-04,4655.997,
2001-07,4705.448,
2001-10,4787.057,
2002-01,4407.270,
2002-04,4628.688,
2002-07,4608.516,
2002-10,4630.291,
2003-01,4537.058,
2003-04,4567.874,
2003-07,4259.073,
2003-10,4984.347,
2004-01,5035.705,
2004-04,5335.211,
2004-07,5671.169,
2004-10,6146.371,
2005-01,5411.031,
2005-04,6054.988,
2005-07,5977.836,
2005-10,6605.304,
2006-01,6513.530,
2006-04,6472.979,
2006-07,6716.963,
2006-10,7089.526,
2007-01,7945.581,
2007-04,7914.438,
2007-07,7980.732,
2007-10,8015.045,
2008-01,8181.358,
2008-04,8546.897,
2008-07,8399.228,
2008-10,8505.962,
2009-01,7767.362,
2009-04,7070.441,
2009-07,7176.887,
2009-10,7192.248,
2010-01,7873.936,
2010-04,9114.497,
2010-07,8685.840,
2010-10,9012.188,
2011-01,9425.673,
2011-04,9902.724,
2011-07,11598.185,
2011-10,11400.458,
2012-01,11103.744,
2012-04,11280.480,
2012-07,11892.769,
2012-10,11513.386,
2013-01,10819.945,
2013-04,11562.019,
2013-07,12308.084,
2013-10,12854.402,
2014-01,12920.082,Provisional value
2014-04,13127.339,Provisional value
2014-07,13007.803,Provisional value
