"",BBK01.CEFE1NE,BBK01.CEFE1NE_FLAGS
"",short-term loans                                              debtor: Non-financial corporations creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:09,
1999-01,46.6,
1999-04,53.1,
1999-07,54.7,
1999-10,64.7,
2000-01,60.8,
2000-04,68.1,
2000-07,96.6,
2000-10,86.7,
2001-01,87.1,
2001-04,96.1,
2001-07,92.9,
2001-10,92.3,
2002-01,97.1,
2002-04,91.5,
2002-07,92.2,
2002-10,83.3,
2003-01,86.3,
2003-04,92.0,
2003-07,95.0,
2003-10,91.8,
2004-01,89.1,
2004-04,87.7,
2004-07,87.0,
2004-10,88.4,
2005-01,84.8,
2005-04,82.5,
2005-07,83.5,
2005-10,89.6,
2006-01,93.1,
2006-04,100.6,
2006-07,110.5,
2006-10,106.0,
2007-01,126.5,
2007-04,129.7,
2007-07,132.7,
2007-10,119.0,
2008-01,115.4,
2008-04,121.4,
2008-07,115.6,
2008-10,118.9,
2009-01,115.5,
2009-04,107.6,
2009-07,108.7,
2009-10,112.7,
2010-01,120.4,
2010-04,116.1,
2010-07,122.3,
2010-10,116.5,
2011-01,113.0,
2011-04,121.8,
2011-07,129.2,
2011-10,131.5,
2012-01,135.9,
2012-04,140.4,
2012-07,145.8,
2012-10,143.9,
2013-01,140.2,
2013-04,143.2,
2013-07,140.4,
2013-10,137.6,
2014-01,132.7,
2014-04,135.4,
2014-07,129.5,
