"",BBK01.OEAD32M,BBK01.OEAD32M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:19,
2002-01,0.291,
2002-04,0.292,
2002-07,0.294,
2002-10,0.324,
2003-01,0.308,
2003-04,0.310,
2003-07,0.317,
2003-10,0.252,
2004-01,0.237,
2004-04,0.230,
2004-07,0.233,
2004-10,0.252,
2005-01,0.259,
2005-04,0.248,
2005-07,0.229,
2005-10,0.213,
2006-01,0.222,
2006-04,0.210,
2006-07,0.189,
2006-10,0.197,
2007-01,0.190,
2007-04,0.189,
2007-07,0.193,
2007-10,0.196,
2008-01,0.199,
2008-04,0.206,
2008-07,0.204,
2008-10,0.200,
2009-01,0.224,
2009-04,0.216,
2009-07,0.215,
2009-10,0.191,
2010-01,0.226,
2010-04,0.240,
2010-07,0.222,
2010-10,0.218,
2011-01,0.230,
2011-04,0.219,
2011-07,0.208,
2011-10,0.217,
2012-01,0.228,
2012-04,0.224,
2012-07,0.228,
2012-10,0.228,
2013-01,0.223,
2013-04,0.238,
2013-07,0.253,
2013-10,0.248,
2014-01,0.270,
2014-04,0.259,
2014-07,0.242,
