"",BBK01.OECJ02H,BBK01.OECJ02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:17,
2002-01,11.089,
2002-04,14.951,
2002-07,14.056,
2002-10,16.150,
2003-01,14.384,
2003-04,17.128,
2003-07,14.392,
2003-10,14.167,
2004-01,16.108,
2004-04,14.703,
2004-07,14.863,
2004-10,13.833,
2005-01,15.933,
2005-04,16.366,
2005-07,17.113,
2005-10,17.638,
2006-01,19.197,
2006-04,18.829,
2006-07,19.214,
2006-10,18.583,
2007-01,21.255,
2007-04,23.469,
2007-07,22.294,
2007-10,23.234,
2008-01,27.429,
2008-04,27.107,
2008-07,30.140,
2008-10,27.976,
2009-01,38.894,
2009-04,22.091,
2009-07,20.383,
2009-10,22.607,
2010-01,20.517,
2010-04,21.371,
2010-07,20.907,
2010-10,25.110,
2011-01,24.164,
2011-04,22.845,
2011-07,26.157,
2011-10,24.908,
2012-01,24.339,
2012-04,25.309,
2012-07,26.513,
2012-10,30.019,
2013-01,27.333,
2013-04,27.431,
2013-07,27.831,
2013-10,27.076,
2014-01,24.973,
2014-04,26.101,
2014-07,26.198,
