"",BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:31,
1991-01,14962.596,
1991-04,-724.745,
1991-07,2425.547,
1991-10,3158.210,
1992-01,3366.747,
1992-04,4113.547,
1992-07,22149.269,
1992-10,1244.353,
1993-01,6749.282,
1993-04,4422.141,
1993-07,7605.391,
1993-10,12419.998,
1994-01,9166.398,
1994-04,8347.038,
1994-07,10742.379,
1994-10,19402.054,
1995-01,22891.572,
1995-04,17603.680,
1995-07,7904.648,
1995-10,8387.379,
1996-01,3831.986,
1996-04,5803.840,
1996-07,-6483.478,
1996-10,21240.751,
1997-01,31023.747,
1997-04,26874.384,
1997-07,-158.465,
1997-10,16916.034,
1998-01,44175.651,
1998-04,28734.483,
1998-07,11986.999,
1998-10,32372.721,
1999-01,49576.817,
1999-04,551.552,
1999-07,3340.335,
1999-10,-10806.881,
2000-01,81300.318,
2000-04,-7747.632,
2000-07,-133.596,
2000-10,16223.198,
2001-01,96179.791,
2001-04,-22826.087,
2001-07,-8669.951,
2001-10,-18900.167,
2002-01,-2256.690,
2002-04,3021.860,
2002-07,51716.048,
2002-10,6520.859,
2003-01,31236.274,
2003-04,1133.095,
2003-07,11057.822,
2003-10,-17996.209,
2004-01,56221.239,
2004-04,-38111.125,
2004-07,33281.049,
2004-10,-2884.689,
2005-01,70527.090,
2005-04,-19889.642,
2005-07,4952.528,
2005-10,-11367.528,
2006-01,68626.605,
2006-04,4071.063,
2006-07,3445.053,
2006-10,-17687.955,
2007-01,47574.376,
2007-04,21162.791,
2007-07,64713.101,
2007-10,-50600.671,
2008-01,122623.384,
2008-04,-50387.329,
2008-07,32474.951,
2008-10,-93303.928,
2009-01,-49771.835,
2009-04,9905.288,
2009-07,-45948.094,
2009-10,-18273.280,
2010-01,44373.019,
2010-04,62085.690,
2010-07,33729.123,
2010-10,33254.311,
2011-01,-35898.688,
2011-04,-27646.471,
2011-07,102939.848,
2011-10,-79488.453,
2012-01,190685.876,
2012-04,-36608.540,
2012-07,-25005.361,
2012-10,-81471.883,
2013-01,-30584.651,
2013-04,10925.953,
2013-07,-63896.019,
2013-10,-87768.052,
2014-01,29441.281,Provisional value
2014-04,10974.296,Provisional value
2014-07,1167.229,Provisional value
2014-10,-62351.150,Provisional value
