"",BBK01.OEHM01U,BBK01.OEHM01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:28,
2002-01,0.504,
2002-04,0.551,
2002-07,0.506,
2002-10,0.562,
2003-01,0.510,
2003-04,0.538,
2003-07,0.561,
2003-10,0.627,
2004-01,0.626,
2004-04,0.600,
2004-07,0.622,
2004-10,0.589,
2005-01,0.573,
2005-04,0.576,
2005-07,0.602,
2005-10,0.627,
2006-01,0.655,
2006-04,0.654,
2006-07,0.697,
2006-10,0.670,
2007-01,0.720,
2007-04,0.735,
2007-07,0.755,
2007-10,0.730,
2008-01,0.780,
2008-04,0.788,
2008-07,0.869,
2008-10,0.829,
2009-01,0.762,
2009-04,0.699,
2009-07,0.694,
2009-10,0.710,
2010-01,0.669,
2010-04,0.629,
2010-07,0.678,
2010-10,0.683,
2011-01,0.717,
2011-04,0.678,
2011-07,0.654,
2011-10,0.703,
2012-01,0.634,
2012-04,0.621,
2012-07,0.669,
2012-10,0.614,
2013-01,0.552,
2013-04,0.567,
2013-07,0.559,
2013-10,0.646,
2014-01,0.583,
2014-04,0.505,
2014-07,0.525,
