"",BBFB1.Q.N.DE.A5.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:54,
1991-01,1342.070,
1991-04,642.654,
1991-07,84.786,
1991-10,54.802,
1992-01,350.124,
1992-04,998.582,
1992-07,389.337,
1992-10,811.971,
1993-01,-231.398,
1993-04,325.592,
1993-07,486.887,
1993-10,262.914,
1994-01,1574.255,
1994-04,-99.096,
1994-07,-571.895,
1994-10,835.121,
1995-01,-1532.499,
1995-04,-22.430,
1995-07,192.661,
1995-10,934.502,
1996-01,-897.393,
1996-04,291.793,
1996-07,1201.985,
1996-10,1270.268,
1997-01,1026.047,
1997-04,610.396,
1997-07,1441.866,
1997-10,1291.113,
1998-01,865.242,
1998-04,4452.230,
1998-07,-2679.624,
1998-10,6702.298,
1999-01,1119.930,
1999-04,5272.735,
1999-07,2461.284,
1999-10,-2747.183,
2000-01,2961.480,
2000-04,5802.213,
2000-07,-1028.709,
2000-10,-2122.123,
2001-01,3063.074,
2001-04,-1396.420,
2001-07,778.176,
2001-10,2988.507,
2002-01,9383.115,
2002-04,6952.796,
2002-07,-4228.782,
2002-10,1600.800,
2003-01,-440.560,
2003-04,283.281,
2003-07,-10217.745,
2003-10,3624.370,
2004-01,1570.271,
2004-04,-4311.983,
2004-07,-2448.811,
2004-10,-144.020,
2005-01,187.680,
2005-04,3329.378,
2005-07,-1661.348,
2005-10,-7671.672,
2006-01,-745.201,
2006-04,5430.965,
2006-07,3977.757,
2006-10,10857.222,
2007-01,2746.273,
2007-04,-2111.833,
2007-07,2531.328,
2007-10,5336.781,
2008-01,8954.428,
2008-04,-3725.245,
2008-07,-9527.895,
2008-10,5849.115,
2009-01,-3925.058,
2009-04,-1374.407,
2009-07,-1685.235,
2009-10,-1410.614,
2010-01,-2231.716,
2010-04,9389.713,
2010-07,-1091.565,
2010-10,-610.211,
2011-01,-7039.089,
2011-04,2100.782,
2011-07,2547.817,
2011-10,-446.171,
2012-01,1084.014,
2012-04,1308.474,
2012-07,1532.040,
2012-10,1121.471,
2013-01,1522.757,
2013-04,111.936,
2013-07,1022.661,
2013-10,5094.661,
2014-01,430.190,Provisional value
2014-04,3406.620,Provisional value
2014-07,9420.599,Provisional value
2014-10,27612.736,Provisional value
