"",BBFN1.M.DE.N.1.A.SY.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SY.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Syria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:20,
1982-09,0.003,
1982-10,0.003,
1982-11,0.003,
1982-12,0.004,
1983-01,0.004,
1983-02,0.004,
1983-03,0.004,
1983-04,0.004,
1983-05,0.004,
1983-06,0.004,
1983-07,0.004,
1983-08,0.004,
1983-09,0.004,
1983-10,0.004,
1983-11,0.004,
1983-12,0.003,
1984-01,0.003,
1984-02,0.003,
1984-03,0.003,
1984-04,0.003,
1984-05,0.003,
1984-06,0.003,
1984-07,0.003,
1984-08,0.003,
1984-09,0.003,
1984-10,0.003,
1984-11,0.003,
1984-12,0.004,
1985-01,0.004,
1985-02,0.004,
1985-03,0.004,
1985-04,0.004,
1985-05,0.004,
1985-06,0.004,
1985-07,0.082,
1985-08,0.091,
1985-09,0.095,
1985-10,0.097,
1985-11,0.104,
1985-12,0.110,
1986-01,0.117,
1986-02,0.120,
1986-03,0.124,
1986-04,0.134,
1986-05,0.145,
1986-06,0.152,
1986-07,0.156,
1986-08,0.160,
1986-09,0.167,
1986-10,0.172,
1986-11,0.176,
1986-12,0.176,
1987-01,0.182,
1987-02,0.158,
1987-03,0.154,
1987-04,0.157,
1987-05,0.160,
1987-06,0.158,
1987-07,0.148,
1987-08,.,No value available
1987-09,.,No value available
1987-10,.,No value available
1987-11,.,No value available
1987-12,.,No value available
1988-01,.,No value available
1988-02,.,No value available
1988-03,.,No value available
1988-04,.,No value available
1988-05,.,No value available
1988-06,.,No value available
1988-07,.,No value available
1988-08,.,No value available
1988-09,.,No value available
1988-10,.,No value available
1988-11,.,No value available
1988-12,.,No value available
1989-01,.,No value available
1989-02,0.186,
1989-03,0.191,
1989-04,0.192,
1989-05,0.193,
1989-06,0.194,
1989-07,0.194,
1989-08,0.198,
1989-09,0.202,
1989-10,0.204,
1989-11,0.207,
1989-12,0.209,
1990-01,0.216,
1990-02,0.225,
1990-03,0.227,
1990-04,0.226,
1990-05,0.234,
1990-06,0.240,
1990-07,0.234,
1990-08,0.232,
1990-09,0.222,
1990-10,0.225,
1990-11,0.219,
1990-12,0.183,
1991-01,0.175,
1991-02,0.168,
1991-03,0.169,
1991-04,0.172,
1991-05,0.176,
1991-06,0.185,
1991-07,0.183,
1991-08,0.188,
1991-09,0.193,
1991-10,0.190,
1991-11,0.194,
1991-12,0.201,
1992-01,0.203,
1992-02,0.197,
1992-03,0.190,
1992-04,0.189,
1992-05,0.186,
1992-06,0.182,
1992-07,0.176,
1992-08,0.180,
1992-09,0.176,
1992-10,0.168,
1992-11,0.168,
1992-12,0.175,
1993-01,0.183,
1993-02,0.179,
1993-03,0.176,
1993-04,0.173,
1993-05,0.172,
1993-06,0.167,
1993-07,0.162,
1993-08,0.162,
1993-09,0.165,
1993-10,0.160,
1993-11,0.164,
1993-12,0.165,
1994-01,0.161,
1994-02,0.160,
1994-03,0.160,
1994-04,0.155,
1994-05,0.151,
1994-06,0.145,
1994-07,0.137,
1994-08,0.133,
1994-09,0.128,
1994-10,0.129,
1994-11,0.128,
1994-12,0.133,
1995-01,0.125,
1995-02,0.120,
1995-03,0.112,
1995-04,0.105,
1995-05,0.098,
1995-06,0.093,
1995-07,0.088,
1995-08,0.086,
1995-09,0.096,
1995-10,0.098,
1995-11,0.099,
1995-12,0.107,
1996-01,0.106,
1996-02,0.090,
1996-03,0.085,
1996-04,0.076,
1996-05,0.071,
1996-06,0.089,
1996-07,0.085,
1996-08,0.082,
1996-09,0.081,
1996-10,0.080,
1996-11,0.081,
1996-12,0.080,
1997-01,0.093,
1997-02,0.080,
1997-03,0.084,
1997-04,0.084,
1997-05,0.081,
1997-06,0.084,
1997-07,0.081,
1997-08,0.081,
1997-09,0.084,
1997-10,0.080,
1997-11,0.080,
1997-12,0.083,
1998-01,0.083,
1998-02,0.093,
1998-03,0.093,
1998-04,0.093,
1998-05,0.095,
1998-06,0.092,
