"",BBEX3.M.KHR.EUR.CA.AA.A01,BBEX3.M.KHR.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Cambodia / EUR 1 = KHR ... (buying),
unit,KHR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:27,
1999-01,4307.00,
1999-02,4169.00,
1999-03,4070.00,
1999-04,4029.00,
1999-05,3969.00,
1999-06,3924.00,
1999-07,4091.00,
1999-08,4060.00,
1999-09,4142.00,
1999-10,4022.00,
1999-11,3831.00,
1999-12,3788.00,
2000-01,3710.00,
2000-02,3691.00,
2000-03,3657.00,
2000-04,3482.00,
2000-05,3584.00,
2000-06,3669.00,
2000-07,3574.00,
2000-08,3480.00,
2000-09,3425.00,
2000-10,3222.00,
2000-11,3325.00,
2000-12,3627.00,
2001-01,3619.00,
2001-02,3585.00,
2001-03,3448.00,
2001-04,3448.00,
2001-05,3352.00,
2001-06,3307.00,
2001-07,3430.00,
2001-08,3600.00,
2001-09,3602.00,
2001-10,3559.00,
2001-11,3480.00,
2001-12,3436.00,
2002-01,3354.00,
2002-02,3379.00,
2002-03,3392.00,
2002-04,3515.00,
2002-05,3657.00,
2002-06,3888.00,
2002-07,3846.00,
2002-08,3856.00,
2002-09,3872.00,
2002-10,3869.00,
2002-11,3902.00,
2002-12,4117.00,
2003-01,4256.00,
2003-02,4230.00,
2003-03,4256.00,
2003-04,4395.00,
2003-05,4756.00,
2003-06,4551.00,
2003-07,4520.00,
2003-08,4378.00,
2003-09,4649.00,
2003-10,4668.00,
2003-11,4748.00,
2003-12,4995.00,
2004-01,4945.00,
2004-02,4967.00,
2004-03,4858.00,
2004-04,4780.00,
2004-05,4917.00,
2004-06,4855.00,
2004-07,4842.00,
2004-08,4884.00,
2004-09,4992.00,
2004-10,5141.00,
2004-11,5326.00,
2004-12,5483.00,
2005-01,5247.00,
2005-02,5159.00,
2005-03,5205.00,
2005-04,5216.00,
2005-05,5070.00,
2005-06,4959.00,
2005-07,5091.00,
2005-08,5027.00,
2005-09,5018.00,
2005-10,5083.00,
2005-11,4900.00,
2005-12,4871.00,
2006-01,4928.00,
2006-02,4834.00,
2006-03,4980.00,
2006-04,5128.00,
2006-05,5273.00,
2006-06,5204.00,
2006-07,5248.00,
2006-08,5318.00,
2006-09,5278.00,
2006-10,5274.00,
2006-11,5389.00,
2006-12,5330.00,
2007-01,5267.00,
2007-02,5361.00,
2007-03,5404.00,
2007-04,5535.00,
2007-05,5475.00,
2007-06,5487.00,
2007-07,5592.00,
2007-08,5575.00,
2007-09,5767.00,
2007-10,5833.00,
2007-11,5911.00,
2007-12,5893.00,
2008-01,5933.00,
2008-02,6062.00,
2008-03,6329.00,
2008-04,6223.00,
2008-05,6241.00,
2008-06,6462.00,
2008-07,6398.00,
2008-08,6040.00,
2008-09,6033.00,
2008-10,5365.00,
2008-11,5237.00,
2008-12,5762.00,
2009-01,5307.00,
2009-02,5232.00,
2009-03,5391.00,
2009-04,5462.00,
2009-05,5774.00,
2009-06,5871.00,
2009-07,5899.00,
2009-08,5922.00,
2009-09,6091.00,
2009-10,6186.00,
2009-11,6237.00,
2009-12,5978.00,
2010-01,5815.00,
2010-02,5661.00,
2010-03,5613.00,
2010-04,5569.00,
2010-05,5178.00,
2010-06,5142.00,
2010-07,5533.00,
2010-08,5350.00,
2010-09,5761.00,
2010-10,5820.00,
2010-11,5341.00,
2010-12,5387.00,
2011-01,5504.00,
2011-02,5537.00,
2011-03,5657.00,
2011-04,5968.00,
2011-05,5847.00,
2011-06,5955.00,
2011-07,5876.00,
2011-08,5909.00,
2011-09,5546.00,
2011-10,5810.00,
2011-11,5371.00,
2011-12,5230.00,
2012-01,5338.00,
2012-02,5410.00,
2012-03,5320.00,
2012-04,5326.00,
2012-05,5026.00,
2012-06,5056.00,
2012-07,4990.00,
2012-08,5061.00,
2012-09,5220.00,
2012-10,5202.00,
2012-11,5178.00,
2012-12,5285.00,
2013-01,5420.00,
2013-02,5255.00,
2013-03,5119.00,
2013-04,5263.00,
2013-05,5300.00,
2013-06,5297.00,
2013-07,5388.00,
2013-08,5376.00,
2013-09,5481.00,
2013-10,5546.00,
2013-11,5434.00,
2013-12,5515.00,
2014-01,5415.00,
2014-02,5455.00,
2014-03,5521.00,
2014-04,5546.00,
2014-05,5484.00,
2014-06,5512.00,
2014-07,5425.00,
2014-08,5360.00,
2014-09,5183.00,
2014-10,5138.00,
2014-11,5060.00,
2014-12,4955.00,
2015-01,4598.00,
2015-02,4514.00,
"","Source: Since March 2002: National Bank of Cambodia, Phnom Penh 1999 - February 2002: Standard Chartered Bank, Phnom Penh",
