"",BBK01.OEBB09K,BBK01.OEBB09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:10,
2002-01,14.437,
2002-04,14.523,
2002-07,14.116,
2002-10,13.686,
2003-01,13.222,
2003-04,13.474,
2003-07,14.401,
2003-10,14.029,
2004-01,14.789,
2004-04,14.403,
2004-07,15.069,
2004-10,14.295,
2005-01,13.171,
2005-04,13.125,
2005-07,13.279,
2005-10,14.693,
2006-01,13.987,
2006-04,14.304,
2006-07,14.444,
2006-10,14.636,
2007-01,14.394,
2007-04,14.316,
2007-07,15.308,
2007-10,15.516,
2008-01,16.452,
2008-04,17.386,
2008-07,17.783,
2008-10,17.187,
2009-01,16.679,
2009-04,18.096,
2009-07,17.786,
2009-10,18.122,
2010-01,18.446,
2010-04,19.018,
2010-07,18.200,
2010-10,18.144,
2011-01,18.156,
2011-04,18.080,
2011-07,19.456,
2011-10,19.328,
2012-01,19.487,
2012-04,23.904,
2012-07,23.569,
2012-10,23.449,
2013-01,23.555,
2013-04,23.329,
2013-07,22.741,
2013-10,22.224,
2014-01,22.083,
2014-04,22.422,
2014-07,22.601,
