"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.IE.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.IE.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Ireland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:45,
2009-09,1079,
2009-10,1052,
2009-11,953,
2009-12,926,
2010-01,949,
2010-02,1122,
2010-03,1319,
2010-04,1319,
2010-05,1318,
2010-06,1390,
2010-07,1474,
2010-08,1330,
2010-09,899,
2010-10,929,
2010-11,898,
2010-12,839,
2011-01,830,
2011-02,901,
2011-03,923,
2011-04,918,
2011-05,942,
2011-06,981,
2011-07,1035,
2011-08,964,
2011-09,947,
2011-10,947,
2011-11,937,
2011-12,868,
2012-01,861,
2012-02,819,
2012-03,830,
2012-04,781,
2012-05,828,
2012-06,796,
2012-07,870,
2012-08,911,
2012-09,996,
2012-10,1052,
2012-11,1169,
2012-12,1117,
2013-01,1128,
2013-02,1137,
2013-03,1170,
2013-04,1195,
2013-05,1155,
2013-06,1161,
2013-07,999,
2013-08,977,
2013-09,1078,
2013-10,1022,
2013-11,1098,
2013-12,1091,
2014-01,1134,
2014-02,1026,
2014-03,1148,
2014-04,1115,
2014-05,1140,
2014-06,1096,
2014-07,1057,
2014-08,1067,
2014-09,1036,
2014-10,983,
2014-11,961,
