"",BBK01.OEAA25H,BBK01.OEAA25H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:52,
2002-01,107.510,
2002-04,106.961,
2002-07,106.285,
2002-10,105.856,
2003-01,104.379,
2003-04,103.000,
2003-07,102.021,
2003-10,101.979,
2004-01,99.996,
2004-04,100.200,
2004-07,100.521,
2004-10,98.213,
2005-01,97.270,
2005-04,96.237,
2005-07,95.145,
2005-10,93.769,
2006-01,92.753,
2006-04,90.983,
2006-07,90.384,
2006-10,88.583,
2007-01,86.763,
2007-04,85.774,
2007-07,84.733,
2007-10,83.146,
2008-01,81.884,
2008-04,81.189,
2008-07,80.323,
2008-10,79.097,
2009-01,77.461,
2009-04,70.595,
2009-07,70.340,
2009-10,69.626,
2010-01,69.769,
2010-04,70.152,
2010-07,70.086,
2010-10,70.074,
2011-01,68.889,
2011-04,69.436,
2011-07,71.708,
2011-10,71.312,
2012-01,70.910,
2012-04,74.031,
2012-07,73.810,
2012-10,73.911,
2013-01,73.633,
2013-04,73.816,
2013-07,74.078,
2013-10,73.937,
2014-01,73.731,
2014-04,74.174,
2014-07,74.443,
