"",BBK01.OEAO01N,BBK01.OEAO01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:13,
2002-01,149.427,
2002-04,149.834,
2002-07,146.980,
2002-10,146.747,
2003-01,151.923,
2003-04,153.518,
2003-07,152.947,
2003-10,153.082,
2004-01,156.148,
2004-04,156.404,
2004-07,156.061,
2004-10,120.630,
2005-01,129.503,
2005-04,129.357,
2005-07,128.565,
2005-10,127.283,
2006-01,128.123,
2006-04,128.288,
2006-07,127.619,
2006-10,125.836,
2007-01,126.138,
2007-04,124.088,
2007-07,121.226,
2007-10,119.052,
2008-01,120.418,
2008-04,119.883,
2008-07,116.634,
2008-10,113.184,
2009-01,120.580,
2009-04,123.736,
2009-07,129.587,
2009-10,130.723,
2010-01,133.315,
2010-04,135.088,
2010-07,135.706,
2010-10,135.932,
2011-01,138.300,
2011-04,138.620,
2011-07,137.352,
2011-10,135.992,
2012-01,135.604,
2012-04,135.871,
2012-07,135.200,
2012-10,134.886,
2013-01,135.154,
2013-04,133.815,
2013-07,132.878,
2013-10,132.131,
2014-01,132.685,
2014-04,132.278,
2014-07,131.297,
