"",BBK01.OEAB16V,BBK01.OEAB16V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:05,
2002-01,7.238,
2002-04,7.172,
2002-07,7.088,
2002-10,6.991,
2003-01,6.889,
2003-04,6.793,
2003-07,6.743,
2003-10,6.658,
2004-01,6.497,
2004-04,6.389,
2004-07,6.293,
2004-10,6.203,
2005-01,6.070,
2005-04,6.023,
2005-07,6.260,
2005-10,6.171,
2006-01,6.120,
2006-04,6.144,
2006-07,6.137,
2006-10,6.089,
2007-01,6.039,
2007-04,5.954,
2007-07,5.902,
2007-10,5.919,
2008-01,5.828,
2008-04,5.846,
2008-07,5.841,
2008-10,5.864,
2009-01,5.687,
2009-04,6.624,
2009-07,6.626,
2009-10,6.631,
2010-01,6.602,
2010-04,6.616,
2010-07,6.077,
2010-10,5.985,
2011-01,6.018,
2011-04,5.999,
2011-07,6.070,
2011-10,6.041,
2012-01,5.999,
2012-04,6.972,
2012-07,6.945,
2012-10,6.959,
2013-01,6.980,
2013-04,7.003,
2013-07,7.064,
2013-10,7.066,
2014-01,7.084,
2014-04,7.160,
2014-07,7.174,
