"",BBK01.OEYB21S,BBK01.OEYB21S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:37,
2002-01,1.879,
2002-04,1.877,
2002-07,1.901,
2002-10,1.991,
2003-01,2.017,
2003-04,2.010,
2003-07,2.049,
2003-10,2.215,
2004-01,2.113,
2004-04,2.155,
2004-07,2.181,
2004-10,2.687,
2005-01,2.678,
2005-04,2.676,
2005-07,2.678,
2005-10,2.653,
2006-01,2.647,
2006-04,2.678,
2006-07,2.720,
2006-10,2.670,
2007-01,2.810,
2007-04,2.979,
2007-07,3.119,
2007-10,3.104,
2008-01,3.225,
2008-04,3.310,
2008-07,3.438,
2008-10,3.461,
2009-01,3.464,
2009-04,3.626,
2009-07,3.634,
2009-10,3.745,
2010-01,3.817,
2010-04,3.835,
2010-07,3.814,
2010-10,3.779,
2011-01,3.862,
2011-04,4.085,
2011-07,4.226,
2011-10,4.394,
2012-01,4.337,
2012-04,4.266,
2012-07,4.187,
2012-10,4.215,
2013-01,4.083,
2013-04,4.032,
2013-07,3.937,
2013-10,3.812,
2014-01,3.719,
2014-04,3.496,
2014-07,3.498,
