"",BBK01.OEHI06K,BBK01.OEHI06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:57,
2002-01,0.867,
2002-04,0.822,
2002-07,0.780,
2002-10,0.749,
2003-01,0.684,
2003-04,0.622,
2003-07,0.577,
2003-10,0.520,
2004-01,0.486,
2004-04,0.451,
2004-07,0.420,
2004-10,0.405,
2005-01,0.349,
2005-04,0.311,
2005-07,0.282,
2005-10,0.258,
2006-01,0.242,
2006-04,0.174,
2006-07,0.160,
2006-10,0.148,
2007-01,0.143,
2007-04,0.134,
2007-07,0.126,
2007-10,0.120,
2008-01,0.118,
2008-04,0.114,
2008-07,0.112,
2008-10,0.104,
2009-01,0.105,
2009-04,0.101,
2009-07,0.089,
2009-10,0.087,
2010-01,0.086,
2010-04,0.086,
2010-07,0.087,
2010-10,0.088,
2011-01,0.090,
2011-04,0.098,
2011-07,0.087,
2011-10,0.088,
2012-01,0.096,
2012-04,0.102,
2012-07,0.098,
2012-10,0.105,
2013-01,0.107,
2013-04,0.105,
2013-07,0.105,
2013-10,0.110,
2014-01,0.094,
2014-04,0.102,
2014-07,1.522,
