"",BBK01.OEAA52G,BBK01.OEAA52G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:40,
2002-01,0.111,
2002-04,0.102,
2002-07,0.103,
2002-10,0.111,
2003-01,0.111,
2003-04,0.103,
2003-07,0.100,
2003-10,0.104,
2004-01,0.102,
2004-04,0.091,
2004-07,0.090,
2004-10,0.096,
2005-01,0.090,
2005-04,0.082,
2005-07,0.069,
2005-10,0.085,
2006-01,0.076,
2006-04,0.096,
2006-07,0.089,
2006-10,0.095,
2007-01,0.076,
2007-04,0.082,
2007-07,0.076,
2007-10,0.088,
2008-01,0.080,
2008-04,0.077,
2008-07,0.082,
2008-10,0.092,
2009-01,0.084,
2009-04,0.077,
2009-07,0.069,
2009-10,0.060,
2010-01,0.048,
2010-04,0.042,
2010-07,0.038,
2010-10,0.046,
2011-01,0.043,
2011-04,0.053,
2011-07,0.046,
2011-10,0.054,
2012-01,0.049,
2012-04,0.047,
2012-07,0.052,
2012-10,0.056,
2013-01,0.036,
2013-04,0.037,
2013-07,0.037,
2013-10,0.039,
2014-01,0.029,
2014-04,0.026,
2014-07,0.028,
