"",BBK01.OECB18K,BBK01.OECB18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:23,
2002-01,0.308,
2002-04,0.294,
2002-07,0.300,
2002-10,0.277,
2003-01,0.262,
2003-04,0.235,
2003-07,0.215,
2003-10,0.223,
2004-01,0.206,
2004-04,0.203,
2004-07,0.190,
2004-10,0.968,
2005-01,0.292,
2005-04,0.275,
2005-07,0.269,
2005-10,0.265,
2006-01,0.247,
2006-04,0.240,
2006-07,0.257,
2006-10,0.235,
2007-01,0.249,
2007-04,0.230,
2007-07,0.227,
2007-10,0.230,
2008-01,0.226,
2008-04,0.253,
2008-07,0.259,
2008-10,0.249,
2009-01,0.235,
2009-04,0.254,
2009-07,0.248,
2009-10,0.240,
2010-01,0.241,
2010-04,0.228,
2010-07,0.257,
2010-10,0.250,
2011-01,0.265,
2011-04,0.428,
2011-07,0.265,
2011-10,0.260,
2012-01,0.263,
2012-04,0.266,
2012-07,0.263,
2012-10,0.277,
2013-01,0.413,
2013-04,0.264,
2013-07,0.261,
2013-10,0.263,
2014-01,0.274,
2014-04,0.270,
2014-07,0.253,
