"",BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:15,
1991-01,2490.835,
1991-04,-6705.311,
1991-07,-1881.298,
1991-10,12251.843,
1992-01,-880.908,
1992-04,-6438.097,
1992-07,-2490.003,
1992-10,17452.963,
1993-01,23735.438,
1993-04,17901.199,
1993-07,6774.353,
1993-10,48934.054,
1994-01,-14225.469,
1994-04,-17102.412,
1994-07,-33.037,
1994-10,24597.376,
1995-01,6248.263,
1995-04,16621.801,
1995-07,-3315.090,
1995-10,1401.334,
1996-01,-5482.513,
1996-04,2771.880,
1996-07,-6757.881,
1996-10,29458.833,
1997-01,11746.330,
1997-04,9710.592,
1997-07,2746.734,
1997-10,24190.240,
1998-01,29738.294,
1998-04,16305.123,
1998-07,8115.384,
1998-10,10376.312,
1999-01,49526.536,
1999-04,-11689.410,
1999-07,25055.623,
1999-10,1272.227,
2000-01,23233.472,
2000-04,11828.166,
2000-07,22056.817,
2000-10,-14128.620,
2001-01,74603.879,
2001-04,-14874.433,
2001-07,42829.169,
2001-10,-8856.003,
2002-01,11428.982,
2002-04,53952.586,
2002-07,53405.868,
2002-10,15804.268,
2003-01,80676.748,
2003-04,31378.388,
2003-07,6706.573,
2003-10,22545.429,
2004-01,54410.954,
2004-04,-25017.091,
2004-07,78449.860,
2004-10,33541.741,
2005-01,69035.174,
2005-04,11997.379,
2005-07,28425.798,
2005-10,-22215.601,
2006-01,105604.512,
2006-04,40791.644,
2006-07,23668.770,
2006-10,19783.336,
2007-01,71669.295,
2007-04,99204.475,
2007-07,41262.537,
2007-10,12274.481,
2008-01,108385.719,
2008-04,1832.723,
2008-07,44527.556,
2008-10,-38269.384,
2009-01,-33610.566,
2009-04,17660.234,
2009-07,-57289.249,
2009-10,11735.652,
2010-01,31648.566,
2010-04,71107.961,
2010-07,64861.318,
2010-10,-33088.279,
2011-01,9870.922,
2011-04,34873.366,
2011-07,158596.539,
2011-10,-65313.439,
2012-01,183118.410,
2012-04,101941.199,
2012-07,-21871.715,
2012-10,-91708.708,
2013-01,-39792.265,
2013-04,-6519.680,
2013-07,-44386.013,
2013-10,-71775.462,
2014-01,5760.021,Provisional value
2014-04,9183.718,Provisional value
2014-07,11558.581,Provisional value
2014-10,-82438.265,Provisional value
