"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.AU.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.AU.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Australia / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:31,
2009-09,27,
2009-10,28,
2009-11,29,
2009-12,31,
2010-01,38,
2010-02,37,
2010-03,77,
2010-04,85,
2010-05,84,
2010-06,89,
2010-07,84,
2010-08,88,
2010-09,69,
2010-10,70,
2010-11,72,
2010-12,69,
2011-01,66,
2011-02,68,
2011-03,67,
2011-04,59,
2011-05,68,
2011-06,66,
2011-07,70,
2011-08,63,
2011-09,72,
2011-10,84,
2011-11,94,
2011-12,116,
2012-01,109,
2012-02,104,
2012-03,110,
2012-04,92,
2012-05,98,
2012-06,114,
2012-07,123,
2012-08,109,
2012-09,100,
2012-10,93,
2012-11,93,
2012-12,88,
2013-01,80,
2013-02,86,
2013-03,83,
2013-04,89,
2013-05,89,
2013-06,82,
2013-07,80,
2013-08,77,
2013-09,71,
2013-10,71,
2013-11,69,
2013-12,68,
2014-01,74,
2014-02,74,
2014-03,78,
2014-04,81,
2014-05,85,
2014-06,82,
2014-07,86,
2014-08,85,
2014-09,90,
2014-10,95,
2014-11,93,
