"",BBK01.OEAB19K,BBK01.OEAB19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:04,
2002-01,1.760,
2002-04,1.740,
2002-07,1.789,
2002-10,2.730,
2003-01,2.648,
2003-04,3.203,
2003-07,3.915,
2003-10,3.414,
2004-01,3.400,
2004-04,3.203,
2004-07,3.292,
2004-10,3.544,
2005-01,3.068,
2005-04,2.973,
2005-07,3.131,
2005-10,3.124,
2006-01,3.084,
2006-04,3.140,
2006-07,3.203,
2006-10,3.225,
2007-01,3.150,
2007-04,3.254,
2007-07,3.253,
2007-10,3.111,
2008-01,3.128,
2008-04,3.204,
2008-07,3.228,
2008-10,3.565,
2009-01,3.599,
2009-04,3.644,
2009-07,3.710,
2009-10,3.672,
2010-01,3.620,
2010-04,2.237,
2010-07,2.300,
2010-10,2.340,
2011-01,2.298,
2011-04,2.291,
2011-07,2.312,
2011-10,2.321,
2012-01,2.285,
2012-04,2.277,
2012-07,2.399,
2012-10,2.349,
2013-01,2.369,
2013-04,2.420,
2013-07,2.493,
2013-10,2.472,
2014-01,2.463,
2014-04,2.287,
2014-07,2.288,
