"",BBK01.OEYB21V,BBK01.OEYB21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:08,
2002-01,3.413,
2002-04,3.800,
2002-07,3.486,
2002-10,4.398,
2003-01,3.637,
2003-04,3.664,
2003-07,3.699,
2003-10,3.990,
2004-01,3.954,
2004-04,4.244,
2004-07,4.421,
2004-10,4.399,
2005-01,4.384,
2005-04,4.372,
2005-07,4.500,
2005-10,4.336,
2006-01,4.194,
2006-04,4.272,
2006-07,4.319,
2006-10,4.465,
2007-01,4.321,
2007-04,4.277,
2007-07,4.245,
2007-10,4.519,
2008-01,3.684,
2008-04,1.401,
2008-07,1.928,
2008-10,1.947,
2009-01,1.252,
2009-04,1.269,
2009-07,1.319,
2009-10,1.335,
2010-01,1.358,
2010-04,1.393,
2010-07,1.580,
2010-10,1.757,
2011-01,1.739,
2011-04,1.745,
2011-07,1.787,
2011-10,1.859,
2012-01,1.803,
2012-04,2.097,
2012-07,2.163,
2012-10,2.186,
2013-01,2.076,
2013-04,2.210,
2013-07,2.254,
2013-10,1.957,
2014-01,1.876,
2014-04,1.630,
2014-07,1.516,
