"",BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:13,
1991-01,68.642,
1991-04,-15.642,
1991-07,738.166,
1991-10,267.273,
1992-01,-63.984,
1992-04,-127.575,
1992-07,482.438,
1992-10,804.293,
1993-01,534.411,
1993-04,243.649,
1993-07,367.975,
1993-10,678.475,
1994-01,-302.608,
1994-04,324.224,
1994-07,760.920,
1994-10,357.488,
1995-01,620.322,
1995-04,-229.661,
1995-07,-5.575,
1995-10,1243.622,
1996-01,-288.818,
1996-04,213.512,
1996-07,814.887,
1996-10,293.445,
1997-01,-882.109,
1997-04,268.024,
1997-07,-428.163,
1997-10,-461.992,
1998-01,437.875,
1998-04,1043.718,
1998-07,2115.392,
1998-10,-3351.045,
1999-01,1177.649,
1999-04,806.760,
1999-07,-1809.602,
1999-10,-3439.929,
2000-01,1542.433,
2000-04,-116.562,
2000-07,1069.391,
2000-10,685.164,
2001-01,-625.090,
2001-04,-12.056,
2001-07,594.996,
2001-10,850.634,
2002-01,2088.199,
2002-04,-769.975,
2002-07,541.214,
2002-10,-251.783,
2003-01,-162.692,
2003-04,404.106,
2003-07,1255.370,
2003-10,1833.952,
2004-01,938.065,
2004-04,-748.397,
2004-07,-615.448,
2004-10,1639.708,
2005-01,2638.956,
2005-04,970.101,
2005-07,4644.069,
2005-10,3178.299,
2006-01,1598.093,
2006-04,1151.920,
2006-07,1484.516,
2006-10,5927.868,
2007-01,-2526.277,
2007-04,570.652,
2007-07,3013.258,
2007-10,785.166,
2008-01,1459.881,
2008-04,-10.186,
2008-07,526.350,
2008-10,-240.224,
2009-01,-504.646,
2009-04,-922.988,
2009-07,-2575.246,
2009-10,-452.983,
2010-01,-468.175,
2010-04,-406.045,
2010-07,-1167.181,
2010-10,1907.350,
2011-01,-2356.599,
2011-04,-3856.762,
2011-07,68.447,
2011-10,-1697.852,
2012-01,-1309.659,
2012-04,-703.996,
2012-07,-1053.482,
2012-10,-1732.106,
2013-01,-1421.040,
2013-04,-4574.732,
2013-07,1787.212,
2013-10,-1364.509,
2014-01,-1093.940,Provisional value
2014-04,-663.698,Provisional value
2014-07,-709.042,Provisional value
2014-10,531.965,Provisional value
