"",BBK01.OEAE35O,BBK01.OEAE35O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:02,
2002-01,0.328,
2002-04,0.312,
2002-07,0.319,
2002-10,0.316,
2003-01,0.293,
2003-04,0.294,
2003-07,0.284,
2003-10,0.300,
2004-01,0.295,
2004-04,0.312,
2004-07,0.324,
2004-10,0.331,
2005-01,0.293,
2005-04,0.319,
2005-07,0.303,
2005-10,0.324,
2006-01,0.296,
2006-04,0.290,
2006-07,0.296,
2006-10,0.301,
2007-01,0.300,
2007-04,0.302,
2007-07,0.277,
2007-10,0.296,
2008-01,0.279,
2008-04,0.268,
2008-07,0.283,
2008-10,0.187,
2009-01,0.204,
2009-04,0.150,
2009-07,0.147,
2009-10,0.134,
2010-01,0.112,
2010-04,0.146,
2010-07,0.150,
2010-10,0.141,
2011-01,0.124,
2011-04,0.127,
2011-07,0.128,
2011-10,0.122,
2012-01,0.117,
2012-04,0.121,
2012-07,0.120,
2012-10,0.119,
2013-01,0.116,
2013-04,0.109,
2013-07,0.108,
2013-10,0.104,
2014-01,0.102,
2014-04,0.103,
2014-07,0.098,
