"",BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / All sectors excluding General government / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:08,
1991-01,1258.382,
1991-02,1285.973,
1991-03,1336.137,
1991-04,1395.029,
1991-05,1421.075,
1991-06,1413.928,
1991-07,1526.943,
1991-08,1423.655,
1991-09,1452.419,
1991-10,1501.805,
1991-11,1451.724,
1991-12,1507.833,
1992-01,1481.640,
1992-02,1483.552,
1992-03,1534.763,
1992-04,1554.979,
1992-05,1499.500,
1992-06,1520.384,
1992-07,1664.072,
1992-08,1592.890,
1992-09,1585.029,
1992-10,1723.792,
1992-11,1589.430,
1992-12,1799.353,
1993-01,1682.627,
1993-02,1647.103,
1993-03,1752.206,
1993-04,1821.697,
1993-05,1793.103,
1993-06,1766.357,
1993-07,1838.193,
1993-08,1824.783,
1993-09,1788.500,
1993-10,1791.506,
1993-11,1847.274,
1993-12,1903.923,
1994-01,1836.168,
1994-02,1811.581,
1994-03,1885.439,
1994-04,1849.288,
1994-05,1889.635,
1994-06,1887.131,
1994-07,1862.957,
1994-08,1865.724,
1994-09,1886.373,
1994-10,1823.344,
1994-11,1836.013,
1994-12,1968.204,
1995-01,1889.473,
1995-02,1797.295,
1995-03,1957.544,
1995-04,1819.239,
1995-05,1862.716,
1995-06,1891.743,
1995-07,1877.267,
1995-08,1854.159,
1995-09,1893.407,
1995-10,1930.607,
1995-11,1881.029,
1995-12,1946.860,
1996-01,1917.886,
1996-02,1890.894,
1996-03,1926.073,
1996-04,1965.997,
1996-05,1943.826,
1996-06,1948.763,
1996-07,1974.792,
1996-08,1941.540,
1996-09,1984.990,
1996-10,2012.745,
1996-11,2072.467,
1996-12,2024.564,
1997-01,2181.640,
1997-02,2078.044,
1997-03,2031.779,
1997-04,2126.463,
1997-05,2111.690,
1997-06,2113.849,
1997-07,2123.393,
1997-08,2181.223,
1997-09,2087.940,
1997-10,2087.029,
1997-11,2108.894,
1997-12,2090.313,
1998-01,2038.426,
1998-02,1999.228,
1998-03,2015.458,
1998-04,2017.562,
1998-05,2095.314,
1998-06,2046.903,
1998-07,2213.429,
1998-08,2104.118,
1998-09,2157.042,
1998-10,2246.718,
1998-11,2220.740,
1998-12,2339.917,
1999-01,2347.329,
1999-02,2451.148,
1999-03,2406.090,
1999-04,2564.350,
1999-05,2630.617,
1999-06,2689.947,
1999-07,2710.930,
1999-08,2714.448,
1999-09,2668.293,
1999-10,2725.861,
1999-11,2717.529,
1999-12,2751.954,
2000-01,2931.005,
2000-02,2595.651,
2000-03,2658.120,
2000-04,2664.723,
2000-05,2833.072,
2000-06,2785.845,
2000-07,2938.351,
2000-08,2908.331,
2000-09,2826.813,
2000-10,3233.468,
2000-11,3293.244,
2000-12,3198.855,
2001-01,3439.827,
2001-02,3608.789,
2001-03,3566.165,
2001-04,3783.877,
2001-05,3928.102,
2001-06,3822.802,
2001-07,3873.903,
2001-08,3899.136,
2001-09,3748.917,
2001-10,3833.601,
2001-11,3649.509,
2001-12,3975.275,
2002-01,3740.714,
2002-02,3879.949,
2002-03,3649.955,
2002-04,3676.337,
2002-05,3729.191,
2002-06,4109.156,
2002-07,3741.355,
2002-08,3630.718,
2002-09,3752.512,
2002-10,4330.701,
2002-11,3955.181,
2002-12,4111.523,
2003-01,4280.733,
2003-02,4200.708,
2003-03,4257.521,
2003-04,4420.964,
2003-05,4482.674,
2003-06,4370.729,
2003-07,4699.067,
2003-08,4331.376,
2003-09,4536.864,
2003-10,3983.075,
2003-11,4083.205,
2003-12,4040.980,
2004-01,3628.024,
2004-02,3504.640,
2004-03,3548.597,
2004-04,3425.621,
2004-05,3518.299,
2004-06,3497.890,
2004-07,3423.772,
2004-08,3142.867,
2004-09,3218.815,
2004-10,3183.940,
2004-11,3185.193,
2004-12,3496.256,
2005-01,3544.008,
2005-02,3551.486,
2005-03,3510.168,
2005-04,3625.707,
2005-05,3951.811,
2005-06,3627.946,
2005-07,3572.639,
2005-08,3694.452,
2005-09,3606.865,
2005-10,3576.113,
2005-11,3594.466,
2005-12,3893.742,
2006-01,3408.895,
2006-02,3334.423,
2006-03,3561.745,
2006-04,3384.000,
2006-05,3478.773,
2006-06,3410.250,
2006-07,3553.812,
2006-08,3198.665,
2006-09,3237.222,
2006-10,3229.622,
2006-11,3291.811,
2006-12,3582.207,
2007-01,3334.647,
2007-02,3538.684,
2007-03,3427.017,
2007-04,3681.019,
2007-05,4782.854,
2007-06,3668.035,
2007-07,3490.850,
2007-08,3525.957,
2007-09,3550.277,
2007-10,3591.953,
2007-11,3574.660,
2007-12,3515.770,
2008-01,3706.122,
2008-02,3424.165,
2008-03,3576.203,
2008-04,3580.211,
2008-05,3570.834,
2008-06,4199.660,
2008-07,3646.514,
2008-08,3974.433,
2008-09,3440.441,
2008-10,3521.451,
2008-11,3346.031,
2008-12,4184.941,
2009-01,3547.778,
2009-02,3131.682,
2009-03,3471.097,
2009-04,3935.912,
2009-05,3165.441,
2009-06,3040.768,
2009-07,3339.330,
2009-08,3030.130,
2009-09,3036.717,
2009-10,3133.818,
2009-11,3437.183,
2009-12,3493.096,
2010-01,3356.220,
2010-02,3297.808,
2010-03,3518.800,
2010-04,3892.808,
2010-05,3829.795,
2010-06,4120.404,
2010-07,3996.290,
2010-08,3922.886,
2010-09,3948.456,
2010-10,3992.851,
2010-11,4060.388,
2010-12,4639.948,
2011-01,4089.707,
2011-02,4155.882,
2011-03,4278.323,
2011-04,4291.246,
2011-05,5086.415,
2011-06,4426.014,
2011-07,4318.134,
2011-08,4417.665,
2011-09,4331.891,
2011-10,4415.093,
2011-11,4397.499,
2011-12,4525.684,
2012-01,4479.794,
2012-02,4381.795,
2012-03,4478.203,
2012-04,4425.278,
2012-05,4659.275,
2012-06,4566.738,
2012-07,4544.700,
2012-08,4564.226,
2012-09,4501.928,
2012-10,4677.851,
2012-11,4668.224,
2012-12,5195.413,
2013-01,4480.548,
2013-02,4472.678,
2013-03,4470.930,
2013-04,4549.001,
2013-05,4657.059,
2013-06,4484.075,
2013-07,4625.244,
2013-08,4464.136,
2013-09,4521.246,
2013-10,4452.300,
2013-11,4395.156,
2013-12,5769.700,
2014-01,4454.048,
2014-02,4347.339,Provisional value
2014-03,4448.626,Provisional value
2014-04,5088.953,Provisional value
2014-05,4766.381,Provisional value
2014-06,4705.075,Provisional value
2014-07,4586.539,Provisional value
2014-08,4438.594,Provisional value
2014-09,5007.373,
2014-10,4435.278,
2014-11,4543.215,
2014-12,4719.331,Provisional value
