"",BBK01.OEAC49U,BBK01.OEAC49U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:54,
2002-01,0.569,
2002-04,0.563,
2002-07,0.550,
2002-10,0.546,
2003-01,0.531,
2003-04,0.528,
2003-07,0.523,
2003-10,0.511,
2004-01,0.492,
2004-04,0.484,
2004-07,0.475,
2004-10,0.473,
2005-01,0.466,
2005-04,0.458,
2005-07,0.452,
2005-10,0.442,
2006-01,0.426,
2006-04,0.425,
2006-07,0.413,
2006-10,0.404,
2007-01,0.393,
2007-04,0.390,
2007-07,0.387,
2007-10,0.397,
2008-01,0.386,
2008-04,0.392,
2008-07,0.396,
2008-10,0.407,
2009-01,0.407,
2009-04,0.468,
2009-07,0.486,
2009-10,0.472,
2010-01,0.485,
2010-04,0.489,
2010-07,0.497,
2010-10,0.505,
2011-01,0.501,
2011-04,0.509,
2011-07,0.506,
2011-10,0.508,
2012-01,0.512,
2012-04,0.517,
2012-07,0.516,
2012-10,0.521,
2013-01,0.510,
2013-04,0.512,
2013-07,0.518,
2013-10,0.507,
2014-01,0.495,
2014-04,0.471,
2014-07,0.472,
