"",BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:53,
1991-01,-13.022,
1991-04,8.247,
1991-07,-3.078,
1991-10,97.747,
1992-01,68.720,
1992-04,-24.657,
1992-07,-74.312,
1992-10,-114.977,
1993-01,-281.449,
1993-04,-311.014,
1993-07,-350.361,
1993-10,-604.701,
1994-01,40.955,
1994-04,78.804,
1994-07,43.742,
1994-10,16.717,
1995-01,-14.881,
1995-04,24.113,
1995-07,-26.047,
1995-10,1.027,
1996-01,153.783,
1996-04,-164.015,
1996-07,-24.358,
1996-10,176.992,
1997-01,-340.166,
1997-04,308.558,
1997-07,43.857,
1997-10,190.179,
1998-01,551.717,
1998-04,2104.739,
1998-07,-4.898,
1998-10,94.997,
1999-01,300.089,
1999-04,-88.414,
1999-07,1971.632,
1999-10,107.260,
2000-01,272.861,
2000-04,-65.079,
2000-07,398.464,
2000-10,309.587,
2001-01,2778.014,
2001-04,380.592,
2001-07,689.987,
2001-10,179.858,
2002-01,-156.294,
2002-04,341.987,
2002-07,573.487,
2002-10,-613.489,
2003-01,1034.284,
2003-04,-131.493,
2003-07,1279.430,
2003-10,392.815,
2004-01,42.826,
2004-04,-18.693,
2004-07,-1641.320,
2004-10,657.519,
2005-01,-3.688,
2005-04,493.264,
2005-07,492.760,
2005-10,26466.368,
2006-01,421.276,
2006-04,139.043,
2006-07,796.058,
2006-10,492.421,
2007-01,4543.522,
2007-04,5946.731,
2007-07,-5046.331,
2007-10,288.336,
2008-01,1641.569,
2008-04,-1560.754,
2008-07,1404.915,
2008-10,-184.039,
2009-01,164.006,
2009-04,-391.246,
2009-07,-329.052,
2009-10,1707.480,
2010-01,408.146,
2010-04,-1460.046,
2010-07,579.424,
2010-10,610.646,
2011-01,906.325,
2011-04,-873.457,
2011-07,868.175,
2011-10,-206.962,
2012-01,552.881,
2012-04,270.784,
2012-07,-279.760,
2012-10,1928.655,
2013-01,474.074,
2013-04,-1431.260,
2013-07,-1319.465,
2013-10,253.409,
2014-01,1909.992,Provisional value
2014-04,-479.033,Provisional value
2014-07,-265.238,Provisional value
2014-10,543.619,Provisional value
