"",BBK01.TQ7129S,BBK01.TQ7129S_FLAGS
"",Deposit takers - Geographical distribution of loans - Austria                                            FSI-S290,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:25,
2005-10,27521,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,32751,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,32531,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,34332,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,31423,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,36639,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,32544,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,34941,
2013-01,37063,
2013-04,37355,
2013-07,35548,
2013-10,34780,
2014-01,36846,
2014-04,38377,
2014-07,40143,
