"",BBK01.OEAA47O,BBK01.OEAA47O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:43,
2002-01,-4.645,
2002-04,-4.639,
2002-07,-4.666,
2002-10,-2.909,
2003-01,-2.271,
2003-04,-1.784,
2003-07,-1.368,
2003-10,0.090,
2004-01,0.053,
2004-04,0.301,
2004-07,2.261,
2004-10,4.072,
2005-01,11.911,
2005-04,11.599,
2005-07,11.575,
2005-10,11.434,
2006-01,11.104,
2006-04,11.013,
2006-07,10.865,
2006-10,10.773,
2007-01,10.636,
2007-04,10.382,
2007-07,9.879,
2007-10,9.654,
2008-01,9.031,
2008-04,8.502,
2008-07,5.573,
2008-10,5.130,
2009-01,5.058,
2009-04,4.985,
2009-07,5.029,
2009-10,4.927,
2010-01,4.769,
2010-04,4.662,
2010-07,4.663,
2010-10,4.636,
2011-01,4.534,
2011-04,4.511,
2011-07,4.548,
2011-10,4.617,
2012-01,4.605,
2012-04,5.078,
2012-07,5.012,
2012-10,5.030,
2013-01,5.068,
2013-04,5.057,
2013-07,6.125,
2013-10,6.250,
2014-01,6.315,
2014-04,6.130,
2014-07,6.231,
