"",BBK01.OEAE09V,BBK01.OEAE09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:36,
2002-01,1.508,
2002-04,1.506,
2002-07,1.476,
2002-10,1.503,
2003-01,1.538,
2003-04,1.463,
2003-07,1.417,
2003-10,1.460,
2004-01,1.467,
2004-04,1.447,
2004-07,1.408,
2004-10,1.441,
2005-01,1.429,
2005-04,1.421,
2005-07,1.373,
2005-10,1.272,
2006-01,1.150,
2006-04,1.073,
2006-07,1.067,
2006-10,1.080,
2007-01,1.103,
2007-04,1.090,
2007-07,1.077,
2007-10,1.219,
2008-01,1.229,
2008-04,1.290,
2008-07,1.298,
2008-10,1.355,
2009-01,1.088,
2009-04,0.982,
2009-07,0.979,
2009-10,2.288,
2010-01,0.801,
2010-04,0.876,
2010-07,0.930,
2010-10,0.914,
2011-01,0.898,
2011-04,0.912,
2011-07,0.970,
2011-10,0.957,
2012-01,0.967,
2012-04,1.008,
2012-07,1.039,
2012-10,1.021,
2013-01,0.987,
2013-04,0.945,
2013-07,0.935,
2013-10,0.925,
2014-01,0.952,
2014-04,0.763,
2014-07,0.755,
