"",BBK01.OEAE22O,BBK01.OEAE22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:57,
2002-01,0.714,
2002-04,0.757,
2002-07,0.918,
2002-10,0.937,
2003-01,0.936,
2003-04,0.821,
2003-07,0.797,
2003-10,0.850,
2004-01,0.750,
2004-04,0.759,
2004-07,0.770,
2004-10,0.755,
2005-01,0.681,
2005-04,0.668,
2005-07,0.676,
2005-10,0.557,
2006-01,0.536,
2006-04,0.523,
2006-07,0.590,
2006-10,0.621,
2007-01,0.607,
2007-04,0.651,
2007-07,0.647,
2007-10,0.653,
2008-01,0.615,
2008-04,0.625,
2008-07,0.548,
2008-10,0.391,
2009-01,0.340,
2009-04,0.423,
2009-07,0.445,
2009-10,0.595,
2010-01,0.415,
2010-04,0.460,
2010-07,0.378,
2010-10,0.411,
2011-01,0.420,
2011-04,0.384,
2011-07,0.428,
2011-10,0.410,
2012-01,0.536,
2012-04,0.543,
2012-07,0.509,
2012-10,0.460,
2013-01,0.481,
2013-04,0.370,
2013-07,0.562,
2013-10,0.366,
2014-01,0.468,
2014-04,0.463,
2014-07,0.434,
