"",BBK01.OEHI08N,BBK01.OEHI08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:10,
2002-01,62.811,
2002-04,62.778,
2002-07,62.169,
2002-10,63.458,
2003-01,63.726,
2003-04,63.477,
2003-07,63.106,
2003-10,63.406,
2004-01,63.061,
2004-04,62.838,
2004-07,62.393,
2004-10,63.061,
2005-01,63.226,
2005-04,63.028,
2005-07,63.016,
2005-10,63.298,
2006-01,63.187,
2006-04,62.391,
2006-07,61.092,
2006-10,60.004,
2007-01,58.023,
2007-04,56.204,
2007-07,54.685,
2007-10,54.239,
2008-01,53.325,
2008-04,52.303,
2008-07,50.957,
2008-10,51.670,
2009-01,53.163,
2009-04,54.276,
2009-07,55.418,
2009-10,56.950,
2010-01,58.290,
2010-04,59.234,
2010-07,60.133,
2010-10,61.974,
2011-01,62.946,
2011-04,62.664,
2011-07,61.862,
2011-10,61.821,
2012-01,61.380,
2012-04,61.225,
2012-07,61.330,
2012-10,61.811,
2013-01,62.405,
2013-04,62.766,
2013-07,63.037,
2013-10,63.653,
2014-01,63.784,
2014-04,63.400,
2014-07,63.213,
