"",BBK01.OEBI02G,BBK01.OEBI02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:18,
2002-01,27.523,
2002-04,29.672,
2002-07,29.713,
2002-10,33.682,
2003-01,33.899,
2003-04,34.124,
2003-07,35.107,
2003-10,39.057,
2004-01,38.006,
2004-04,38.085,
2004-07,39.228,
2004-10,41.176,
2005-01,23.585,
2005-04,24.560,
2005-07,21.711,
2005-10,22.201,
2006-01,22.096,
2006-04,22.257,
2006-07,22.155,
2006-10,23.355,
2007-01,23.138,
2007-04,23.552,
2007-07,23.495,
2007-10,26.511,
2008-01,23.250,
2008-04,23.580,
2008-07,24.201,
2008-10,27.435,
2009-01,29.664,
2009-04,29.874,
2009-07,30.197,
2009-10,32.413,
2010-01,31.467,
2010-04,32.566,
2010-07,32.457,
2010-10,34.972,
2011-01,32.401,
2011-04,33.882,
2011-07,33.625,
2011-10,35.728,
2012-01,34.916,
2012-04,36.132,
2012-07,37.925,
2012-10,40.249,
2013-01,37.627,
2013-04,38.566,
2013-07,39.788,
2013-10,42.531,
2014-01,40.131,
2014-04,42.031,
2014-07,42.616,
