"",BBK01.TQ7015C,BBK01.TQ7015C_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Domestic economy                     FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:27,
2005-10,75.19,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,72.58,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,71.12,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,71.18,
2009-01,71.94,
2009-04,72.35,
2009-07,73.23,
2009-10,72.87,
2010-01,72.94,
2010-04,72.67,
2010-07,73.26,
2010-10,74.93,
2011-01,80.32,
2011-04,80.05,
2011-07,80.00,
2011-10,80.50,
2012-01,81.00,
2012-04,81.20,
2012-07,80.90,
2012-10,81.20,
2013-01,80.90,
2013-04,80.90,
2013-07,81.30,
2013-10,81.20,
2014-01,80.80,
2014-04,80.30,
2014-07,80.00,
