"",BBK01.OEXB22M,BBK01.OEXB22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:53,
2002-01,0.122,
2002-04,0.186,
2002-07,0.106,
2002-10,0.101,
2003-01,0.139,
2003-04,0.121,
2003-07,0.091,
2003-10,0.064,
2004-01,0.100,
2004-04,0.098,
2004-07,0.075,
2004-10,0.122,
2005-01,0.087,
2005-04,0.100,
2005-07,0.097,
2005-10,0.106,
2006-01,0.116,
2006-04,0.073,
2006-07,0.058,
2006-10,0.075,
2007-01,0.079,
2007-04,0.071,
2007-07,0.042,
2007-10,0.056,
2008-01,0.030,
2008-04,0.077,
2008-07,0.078,
2008-10,0.068,
2009-01,0.051,
2009-04,0.049,
2009-07,0.048,
2009-10,0.042,
2010-01,0.094,
2010-04,0.081,
2010-07,0.083,
2010-10,0.077,
2011-01,0.099,
2011-04,0.100,
2011-07,0.082,
2011-10,0.002,
2012-01,0.005,
2012-04,0.054,
2012-07,0.043,
2012-10,0.022,
2013-01,0.359,
2013-04,0.309,
2013-07,0.297,
2013-10,0.265,
2014-01,0.263,
2014-04,0.333,
2014-07,0.323,
