"",BBK01.OEXB09J,BBK01.OEXB09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:21,
2002-01,1.031,
2002-04,0.987,
2002-07,0.999,
2002-10,0.965,
2003-01,0.946,
2003-04,0.869,
2003-07,0.895,
2003-10,0.867,
2004-01,0.835,
2004-04,0.803,
2004-07,0.813,
2004-10,0.757,
2005-01,0.783,
2005-04,0.787,
2005-07,0.829,
2005-10,0.971,
2006-01,1.026,
2006-04,1.040,
2006-07,1.036,
2006-10,1.024,
2007-01,1.024,
2007-04,1.060,
2007-07,1.071,
2007-10,1.193,
2008-01,1.209,
2008-04,1.262,
2008-07,1.343,
2008-10,1.339,
2009-01,1.382,
2009-04,1.319,
2009-07,1.312,
2009-10,1.342,
2010-01,1.334,
2010-04,1.347,
2010-07,1.373,
2010-10,1.395,
2011-01,1.365,
2011-04,1.374,
2011-07,1.474,
2011-10,1.525,
2012-01,1.531,
2012-04,1.588,
2012-07,1.650,
2012-10,1.740,
2013-01,1.672,
2013-04,1.617,
2013-07,1.688,
2013-10,1.786,
2014-01,1.888,
2014-04,1.876,
2014-07,1.765,
