"",BBK01.OEAC26Q,BBK01.OEAC26Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:25,
2002-01,0.290,
2002-04,0.297,
2002-07,0.238,
2002-10,0.342,
2003-01,0.326,
2003-04,0.373,
2003-07,0.340,
2003-10,0.343,
2004-01,0.276,
2004-04,0.149,
2004-07,0.172,
2004-10,0.243,
2005-01,0.192,
2005-04,0.190,
2005-07,0.285,
2005-10,0.269,
2006-01,0.208,
2006-04,0.181,
2006-07,0.174,
2006-10,0.178,
2007-01,0.166,
2007-04,0.166,
2007-07,0.183,
2007-10,0.176,
2008-01,0.164,
2008-04,0.169,
2008-07,0.154,
2008-10,0.164,
2009-01,0.169,
2009-04,0.158,
2009-07,0.149,
2009-10,0.151,
2010-01,0.151,
2010-04,0.157,
2010-07,0.136,
2010-10,0.132,
2011-01,0.133,
2011-04,0.139,
2011-07,0.137,
2011-10,0.162,
2012-01,0.135,
2012-04,0.149,
2012-07,0.146,
2012-10,0.138,
2013-01,0.135,
2013-04,0.131,
2013-07,0.145,
2013-10,0.146,
2014-01,0.141,
2014-04,0.147,
2014-07,0.153,
