"",BBK01.OECI08L,BBK01.OECI08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:08,
2002-01,1.445,
2002-04,0.846,
2002-07,0.829,
2002-10,0.966,
2003-01,0.992,
2003-04,1.007,
2003-07,1.217,
2003-10,1.236,
2004-01,1.201,
2004-04,1.219,
2004-07,1.500,
2004-10,1.549,
2005-01,4.506,
2005-04,4.527,
2005-07,4.488,
2005-10,4.442,
2006-01,4.402,
2006-04,4.289,
2006-07,4.184,
2006-10,4.133,
2007-01,4.257,
2007-04,4.188,
2007-07,4.065,
2007-10,4.059,
2008-01,4.037,
2008-04,4.139,
2008-07,3.951,
2008-10,3.918,
2009-01,4.183,
2009-04,4.722,
2009-07,5.457,
2009-10,6.568,
2010-01,7.774,
2010-04,5.928,
2010-07,6.023,
2010-10,5.809,
2011-01,6.007,
2011-04,4.958,
2011-07,4.910,
2011-10,4.893,
2012-01,5.494,
2012-04,5.398,
2012-07,5.367,
2012-10,5.443,
2013-01,5.245,
2013-04,5.162,
2013-07,5.014,
2013-10,4.974,
2014-01,4.890,
2014-04,4.791,
2014-07,4.895,
