"",BBK01.OEAB08P,BBK01.OEAB08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:51,
2002-01,16.281,
2002-04,16.385,
2002-07,16.436,
2002-10,16.823,
2003-01,17.167,
2003-04,17.235,
2003-07,17.280,
2003-10,17.422,
2004-01,17.512,
2004-04,17.716,
2004-07,17.964,
2004-10,17.969,
2005-01,18.235,
2005-04,18.304,
2005-07,18.417,
2005-10,18.406,
2006-01,18.405,
2006-04,18.431,
2006-07,18.485,
2006-10,18.634,
2007-01,18.656,
2007-04,18.714,
2007-07,18.890,
2007-10,19.061,
2008-01,19.086,
2008-04,19.222,
2008-07,19.320,
2008-10,19.347,
2009-01,19.296,
2009-04,19.705,
2009-07,19.743,
2009-10,19.781,
2010-01,19.785,
2010-04,20.357,
2010-07,20.346,
2010-10,20.516,
2011-01,20.574,
2011-04,20.707,
2011-07,20.820,
2011-10,20.908,
2012-01,21.015,
2012-04,21.635,
2012-07,21.777,
2012-10,21.881,
2013-01,21.876,
2013-04,21.973,
2013-07,21.881,
2013-10,22.050,
2014-01,21.940,
2014-04,21.923,
2014-07,22.062,
