"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4P.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4P.D.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:37,
1991-01,609.454,
1991-02,321.192,
1991-03,355.184,
1991-04,381.456,
1991-05,485.679,
1991-06,1554.136,
1991-07,693.166,
1991-08,432.033,
1991-09,444.841,
1991-10,364.243,
1991-11,424.191,
1991-12,510.997,
1992-01,448.169,
1992-02,112.317,
1992-03,290.758,
1992-04,33.249,
1992-05,175.587,
1992-06,674.913,
1992-07,291.280,
1992-08,266.560,
1992-09,403.766,
1992-10,55.795,
1992-11,264.176,
1992-12,-284.728,
1993-01,488.774,
1993-02,266.791,
1993-03,146.497,
1993-04,249.835,
1993-05,129.247,
1993-06,146.302,
1993-07,167.456,
1993-08,161.751,
1993-09,292.334,
1993-10,157.402,
1993-11,43.116,
1993-12,-212.516,
1994-01,798.532,
1994-02,488.829,
1994-03,564.150,
1994-04,380.390,
1994-05,689.315,
1994-06,300.575,
1994-07,784.163,
1994-08,564.971,
1994-09,652.408,
1994-10,276.096,
1994-11,738.566,
1994-12,545.355,
1995-01,690.364,
1995-02,570.829,
1995-03,743.116,
1995-04,242.566,
1995-05,302.057,
1995-06,498.243,
1995-07,678.342,
1995-08,571.561,
1995-09,328.585,
1995-10,516.003,
1995-11,391.487,
1995-12,356.002,
1996-01,89.873,
1996-02,164.842,
1996-03,-153.798,
1996-04,57.838,
1996-05,221.758,
1996-06,408.251,
1996-07,1935.068,
1996-08,521.053,
1996-09,960.062,
1996-10,356.536,
1996-11,232.662,
1996-12,246.331,
1997-01,730.299,
1997-02,632.092,
1997-03,462.351,
1997-04,434.340,
1997-05,1038.040,
1997-06,1090.522,
1997-07,930.560,
1997-08,441.359,
1997-09,417.242,
1997-10,1313.255,
1997-11,929.671,
1997-12,1019.824,
1998-01,611.040,
1998-02,548.080,
1998-03,888.879,
1998-04,956.263,
1998-05,732.715,
1998-06,1002.136,
1998-07,1979.690,
1998-08,800.440,
1998-09,803.025,
1998-10,916.687,
1998-11,467.485,
1998-12,2567.781,
1999-01,145.187,
1999-02,1217.813,
1999-03,406.641,
1999-04,425.868,
1999-05,487.360,
1999-06,1042.554,
1999-07,712.147,
1999-08,690.453,
1999-09,804.315,
1999-10,1010.292,
1999-11,614.597,
1999-12,2715.158,
2000-01,136.001,
2000-02,748.253,
2000-03,816.147,
2000-04,809.325,
2000-05,714.410,
2000-06,1476.705,
2000-07,1369.361,
2000-08,1708.524,
2000-09,1411.912,
2000-10,1276.150,
2000-11,1763.242,
2000-12,2942.909,
2001-01,710.241,
2001-02,588.824,
2001-03,602.531,
2001-04,389.377,
2001-05,491.361,
2001-06,449.804,
2001-07,358.965,
2001-08,405.408,
2001-09,400.760,
2001-10,552.810,
2001-11,483.748,
2001-12,628.627,
2002-01,1606.110,
2002-02,1691.045,
2002-03,1723.406,
2002-04,1647.157,
2002-05,1698.160,
2002-06,1834.352,
2002-07,1779.535,
2002-08,1784.200,
2002-09,1879.716,
2002-10,1853.609,
2002-11,1881.516,
2002-12,1946.386,
2003-01,1816.617,
2003-02,1810.903,
2003-03,1860.231,
2003-04,2320.426,
2003-05,1941.245,
2003-06,1556.385,
2003-07,1914.075,
2003-08,1927.844,
2003-09,2034.637,
2003-10,1991.076,
2003-11,2067.463,
2003-12,2260.615,
2004-01,1877.498,
2004-02,1850.143,
2004-03,1830.994,
2004-04,1826.304,
2004-05,1784.705,
2004-06,1830.143,
2004-07,1788.742,
2004-08,1815.409,
2004-09,1895.096,
2004-10,1810.149,
2004-11,1903.778,
2004-12,1878.427,
2005-01,2576.264,
2005-02,2582.088,
2005-03,2591.325,
2005-04,2609.592,
2005-05,2541.559,
2005-06,2611.136,
2005-07,2709.131,
2005-08,2674.715,
2005-09,2819.926,
2005-10,2719.442,
2005-11,2880.010,
2005-12,2924.458,
2006-01,2479.417,
2006-02,2458.384,
2006-03,2514.284,
2006-04,2571.461,
2006-05,2625.319,
2006-06,2697.182,
2006-07,2803.146,
2006-08,2897.818,
2006-09,3024.052,
2006-10,3143.385,
2006-11,3292.501,
2006-12,3473.344,
2007-01,4823.037,
2007-02,4640.623,
2007-03,4599.434,
2007-04,4464.578,
2007-05,4434.219,
2007-06,4290.169,
2007-07,4286.730,
2007-08,3913.241,
2007-09,3605.260,
2007-10,3368.778,
2007-11,3075.933,
2007-12,2722.225,
2008-01,2325.787,
2008-02,1875.698,
2008-03,1707.067,
2008-04,1385.354,
2008-05,1256.877,
2008-06,1122.031,
2008-07,1106.786,
2008-08,1001.265,
2008-09,1039.110,
2008-10,1137.160,
2008-11,1268.021,
2008-12,1736.419,
2009-01,1400.929,
2009-02,1446.098,
2009-03,1533.676,
2009-04,1573.363,
2009-05,1622.788,
2009-06,1694.134,
2009-07,1814.560,
2009-08,1930.601,
2009-09,2041.713,
2009-10,2214.245,
2009-11,2349.911,
2009-12,2614.305,
2010-01,2798.547,
2010-02,3091.491,
2010-03,3273.576,
2010-04,3460.977,
2010-05,3561.479,
2010-06,3707.339,
2010-07,3760.986,
2010-08,3799.366,
2010-09,3834.635,
2010-10,3885.465,
2010-11,3870.783,
2010-12,4310.418,
2011-01,3472.691,
2011-02,3326.784,
2011-03,3297.768,
2011-04,3277.220,
2011-05,3248.880,
2011-06,3268.174,
2011-07,3254.842,
2011-08,3250.656,
2011-09,3271.196,
2011-10,3297.659,
2011-11,3334.047,
2011-12,3418.192,
2012-01,3442.800,
2012-02,3465.292,
2012-03,3597.215,
2012-04,3687.249,
2012-05,3596.097,
2012-06,3605.278,
2012-07,3706.329,
2012-08,3626.960,
2012-09,3699.107,
2012-10,3674.330,
2012-11,3618.005,
2012-12,3651.989,
2013-01,3493.520,
2013-02,3376.356,
2013-03,3329.137,
2013-04,3375.917,
2013-05,3384.061,
2013-06,3280.157,
2013-07,3280.815,
2013-08,3259.870,
2013-09,3214.581,
2013-10,3275.541,
2013-11,3225.924,
2013-12,3284.004,
2014-01,3216.801,
2014-02,3189.146,Provisional value
2014-03,3299.390,Provisional value
2014-04,3296.295,Provisional value
2014-05,3597.619,Provisional value
2014-06,3585.312,Provisional value
2014-07,3383.668,Provisional value
2014-08,3450.503,Provisional value
2014-09,3365.303,
2014-10,3292.569,
2014-11,3319.098,
2014-12,3399.375,Provisional value
