"",BBK01.OEBB17M,BBK01.OEBB17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:31,
2002-01,21.004,
2002-04,21.296,
2002-07,21.717,
2002-10,21.936,
2003-01,22.114,
2003-04,22.405,
2003-07,22.762,
2003-10,22.832,
2004-01,22.562,
2004-04,22.817,
2004-07,23.175,
2004-10,22.431,
2005-01,29.420,
2005-04,29.650,
2005-07,29.381,
2005-10,29.676,
2006-01,29.717,
2006-04,31.907,
2006-07,32.311,
2006-10,31.531,
2007-01,33.851,
2007-04,30.716,
2007-07,30.665,
2007-10,30.332,
2008-01,29.293,
2008-04,29.174,
2008-07,27.810,
2008-10,27.498,
2009-01,27.793,
2009-04,29.505,
2009-07,29.749,
2009-10,29.426,
2010-01,29.459,
2010-04,29.400,
2010-07,29.865,
2010-10,29.781,
2011-01,29.289,
2011-04,28.929,
2011-07,28.622,
2011-10,28.693,
2012-01,28.754,
2012-04,29.205,
2012-07,29.645,
2012-10,29.938,
2013-01,29.394,
2013-04,29.948,
2013-07,29.947,
2013-10,30.366,
2014-01,30.620,
2014-04,30.306,
2014-07,31.000,
