"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.EUR.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations  / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:17,
1971-12,3.005,
1972-01,2.928,
1972-02,3.093,
1972-03,3.160,
1972-04,3.225,
1972-05,3.190,
1972-06,3.207,
1972-07,3.112,
1972-08,3.148,
1972-09,3.105,
1972-10,3.110,
1972-11,3.321,
1972-12,3.336,
1973-01,3.342,
1973-02,3.409,
1973-03,3.417,
1973-04,3.423,
1973-05,3.459,
1973-06,3.479,
1973-07,3.495,
1973-08,3.505,
1973-09,3.470,
1973-10,3.459,
1973-11,3.466,
1973-12,3.387,
1974-01,3.378,
1974-02,3.362,
1974-03,3.355,
1974-04,3.368,
1974-05,3.403,
1974-06,3.342,
1974-07,3.366,
1974-08,3.337,
1974-09,3.344,
1974-10,3.440,
1974-11,3.428,
1974-12,3.288,
1975-01,3.331,
1975-02,3.343,
1975-03,3.359,
1975-04,3.412,
1975-05,3.381,
1975-06,3.355,
1975-07,3.511,
1975-08,3.499,
1975-09,3.407,
1975-10,3.430,
1975-11,3.395,
1975-12,3.371,
1976-01,3.417,
1976-02,3.463,
1976-03,3.494,
1976-04,3.475,
1976-05,3.437,
1976-06,3.455,
1976-07,3.494,
1976-08,3.507,
1976-09,3.516,
1976-10,3.486,
1976-11,3.488,
1976-12,3.526,
1977-01,3.591,
1977-02,3.704,
1977-03,3.907,
1977-04,3.927,
1977-05,3.887,
1977-06,3.876,
1977-07,3.969,
1977-08,3.925,
1977-09,3.907,
1977-10,3.912,
1977-11,3.967,
1977-12,4.077,
1978-01,4.109,
1978-02,4.258,
1978-03,4.293,
1978-04,4.328,
1978-05,4.303,
1978-06,4.248,
1978-07,4.292,
1978-08,4.327,
1978-09,4.344,
1978-10,4.353,
1978-11,4.241,
1978-12,4.490,
1979-01,4.475,
1979-02,4.541,
1979-03,4.489,
1979-04,4.582,
1979-05,4.565,
1979-06,4.461,
1979-07,4.555,
1979-08,4.587,
1979-09,4.545,
1979-10,4.512,
1979-11,4.552,
