"",BBFN1.M.DE.N.1.A.SA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:52,
1994-07,0.431,
1994-08,0.474,
1994-09,0.506,
1994-10,0.534,
1994-11,0.561,
1994-12,0.588,
1995-01,0.554,
1995-02,0.556,
1995-03,0.554,
1995-04,0.574,
1995-05,0.559,
1995-06,0.582,
1995-07,0.603,
1995-08,0.616,
1995-09,0.603,
1995-10,0.636,
1995-11,0.726,
1995-12,0.679,
1996-01,0.621,
1996-02,0.817,
1996-03,0.806,
1996-04,0.813,
1996-05,0.858,
1996-06,0.856,
1996-07,0.851,
1996-08,0.832,
1996-09,0.817,
1996-10,0.904,
1996-11,0.808,
1996-12,0.771,
1997-01,0.773,
1997-02,0.758,
1997-03,0.780,
1997-04,0.771,
1997-05,0.762,
1997-06,0.777,
1997-07,0.811,
1997-08,0.821,
1997-09,0.853,
1997-10,0.849,
1997-11,0.763,
1997-12,0.757,
1998-01,0.774,
1998-02,0.783,
1998-03,0.782,
1998-04,0.785,
1998-05,0.754,
1998-06,0.577,
1998-07,0.614,
1998-08,0.589,
1998-09,0.589,
1998-10,0.602,
1998-11,0.646,
1998-12,0.578,
1999-01,0.598,
1999-02,0.604,
1999-03,0.610,
1999-04,0.562,
1999-05,0.557,
1999-06,0.562,
1999-07,0.561,
1999-08,0.642,
1999-09,0.634,
1999-10,0.657,
1999-11,0.665,
1999-12,0.646,
2000-01,0.620,
2000-02,0.618,
2000-03,0.642,
2000-04,0.642,
2000-05,0.683,
2000-06,0.678,
2000-07,0.697,
2000-08,0.732,
2000-09,0.706,
2000-10,0.744,
2000-11,0.756,
2000-12,0.742,
2001-01,0.722,
2001-02,0.704,
2001-03,0.735,
2001-04,0.711,
2001-05,0.704,
2001-06,0.766,
2001-07,0.747,
2001-08,0.702,
2001-09,0.793,
2001-10,0.782,
2001-11,0.782,
2001-12,0.773,
2002-01,0.681,
2002-02,0.725,
2002-03,0.713,
2002-04,0.756,
2002-05,0.764,
2002-06,0.862,
2002-07,0.872,
2002-08,0.840,
2002-09,0.864,
2002-10,0.899,
2002-11,0.987,
2002-12,0.987,
2003-01,0.995,
2003-02,0.917,
2003-03,0.947,
2003-04,0.953,
2003-05,0.913,
2003-06,0.893,
2003-07,0.910,
2003-08,0.959,
2003-09,0.920,
2003-10,1.038,
2003-11,1.037,
2003-12,1.022,
2004-01,1.014,
2004-02,1.031,
2004-03,0.997,
2004-04,0.946,
2004-05,0.970,
2004-06,0.971,
2004-07,0.981,
2004-08,1.011,
2004-09,1.022,
2004-10,1.059,
2004-11,1.111,
2004-12,1.110,
2005-01,1.160,
2005-02,1.161,
2005-03,1.185,
2005-04,1.184,
2005-05,1.218,
2005-06,1.265,
2005-07,1.270,
2005-08,1.277,
2005-09,1.323,
2005-10,1.339,
2005-11,1.416,
2005-12,1.380,
2006-01,1.387,
2006-02,1.396,
2006-03,1.385,
2006-04,1.373,
2006-05,1.349,
2006-06,1.370,
2006-07,1.366,
2006-08,1.365,
2006-09,1.357,
2006-10,1.420,
2006-11,1.461,
2006-12,1.503,
2007-01,1.486,
2007-02,1.497,
2007-03,1.350,
2007-04,1.345,
2007-05,1.307,
2007-06,1.264,
2007-07,1.338,
2007-08,1.374,
2007-09,1.344,
2007-10,1.325,
2007-11,1.319,
2007-12,1.358,
2008-01,1.304,
2008-02,1.346,
2008-03,1.367,
2008-04,1.384,
2008-05,1.432,
2008-06,1.404,
2008-07,1.479,
2008-08,1.504,
2008-09,1.413,
2008-10,1.516,
2008-11,1.560,
2008-12,1.643,
2009-01,1.567,
2009-02,1.502,
2009-03,1.508,
2009-04,1.396,
2009-05,1.398,
2009-06,1.356,
2009-07,1.320,
2009-08,1.268,
2009-09,1.264,
2009-10,1.299,
2009-11,1.285,
2009-12,1.438,
2010-01,1.280,
2010-02,1.338,
2010-03,1.435,
2010-04,1.414,
2010-05,1.448,
2010-06,1.459,
2010-07,1.465,
2010-08,1.469,
2010-09,1.498,
2010-10,1.490,
2010-11,1.480,
2010-12,1.584,
2011-01,1.522,
2011-02,1.614,
2011-03,1.547,
2011-04,1.545,
2011-05,1.533,
2011-06,1.390,
2011-07,1.410,
2011-08,1.445,
2011-09,1.477,
2011-10,1.458,
2011-11,1.485,
2011-12,1.624,
2012-01,1.612,
2012-02,1.621,
2012-03,1.469,
2012-04,1.492,
2012-05,1.486,
2012-06,1.575,
2012-07,1.554,
2012-08,1.562,
2012-09,1.617,
2012-10,1.763,
2012-11,1.611,
2012-12,1.555,
2013-01,1.516,
2013-02,1.503,
2013-03,1.525,
2013-04,1.571,
2013-05,1.546,
2013-06,1.582,
2013-07,1.494,
2013-08,1.609,
2013-09,1.686,
2013-10,1.731,
2013-11,1.685,
2013-12,1.576,
2014-01,1.524,
2014-02,1.554,
2014-03,1.617,
2014-04,1.703,
2014-05,1.508,
2014-06,1.648,
2014-07,1.693,
2014-08,1.682,
2014-09,1.786,
2014-10,1.742,
2014-11,1.748,
2014-12,1.828,
