"",BBK01.OELJ01I,BBK01.OELJ01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:16,
2002-01,2.064,
2002-04,2.115,
2002-07,2.229,
2002-10,2.174,
2003-01,2.142,
2003-04,2.876,
2003-07,2.065,
2003-10,2.189,
2004-01,2.119,
2004-04,2.322,
2004-07,2.467,
2004-10,2.600,
2005-01,2.596,
2005-04,2.415,
2005-07,2.573,
2005-10,3.149,
2006-01,2.803,
2006-04,2.718,
2006-07,2.761,
2006-10,2.635,
2007-01,2.581,
2007-04,2.602,
2007-07,2.705,
2007-10,2.736,
2008-01,2.821,
2008-04,2.753,
2008-07,3.053,
2008-10,3.071,
2009-01,3.508,
2009-04,3.264,
2009-07,3.439,
2009-10,3.345,
2010-01,3.365,
2010-04,3.271,
2010-07,3.126,
2010-10,3.022,
2011-01,3.312,
2011-04,3.292,
2011-07,3.442,
2011-10,3.234,
2012-01,3.367,
2012-04,3.213,
2012-07,3.290,
2012-10,3.345,
2013-01,3.429,
2013-04,3.535,
2013-07,3.565,
2013-10,3.552,
2014-01,3.673,
2014-04,3.719,
2014-07,3.859,
