"",BBFN1.M.DE.N.1.A.GB.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GB.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / United Kingdom,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:56,
1994-12,47.522,
1995-01,50.996,
1995-02,50.685,
1995-03,50.082,
1995-04,51.773,
1995-05,51.009,
1995-06,51.782,
1995-07,52.578,
1995-08,48.840,
1995-09,51.112,
1995-10,50.572,
1995-11,50.811,
1995-12,44.407,
1996-01,49.433,
1996-02,48.345,
1996-03,47.772,
1996-04,53.325,
1996-05,55.394,
1996-06,52.620,
1996-07,52.212,
1996-08,51.334,
1996-09,50.188,
1996-10,53.307,
1996-11,54.618,
1996-12,53.908,
1997-01,56.189,
1997-02,58.251,
1997-03,57.236,
1997-04,62.107,
1997-05,62.567,
1997-06,58.804,
1997-07,59.600,
1997-08,57.274,
1997-09,59.017,
1997-10,63.326,
1997-11,59.216,
1997-12,52.115,
1998-01,62.973,
1998-02,67.530,
1998-03,69.148,
1998-04,76.650,
1998-05,78.283,
1998-06,71.833,
1998-07,70.666,
1998-08,64.594,
1998-09,65.616,
1998-10,68.715,
1998-11,63.224,
1998-12,52.395,
1999-01,49.098,
1999-02,53.369,
1999-03,54.517,
1999-04,56.428,
1999-05,57.758,
1999-06,58.227,
1999-07,55.211,
1999-08,54.528,
1999-09,54.513,
1999-10,54.266,
1999-11,55.475,
1999-12,46.004,
2000-01,51.496,
2000-02,56.354,
2000-03,65.285,
2000-04,65.902,
2000-05,69.377,
2000-06,70.759,
2000-07,66.127,
2000-08,63.898,
2000-09,57.205,
2000-10,62.636,
2000-11,54.905,
2000-12,48.487,
2001-01,60.587,
2001-02,67.805,
2001-03,70.035,
2001-04,73.777,
2001-05,62.769,
2001-06,64.234,
2001-07,62.944,
2001-08,63.985,
2001-09,63.542,
2001-10,66.197,
2001-11,62.289,
2001-12,64.587,
2002-01,67.045,
2002-02,69.364,
2002-03,68.493,
2002-04,74.459,
2002-05,69.733,
2002-06,65.036,
2002-07,70.092,
2002-08,69.160,
2002-09,70.805,
2002-10,76.635,
2002-11,73.785,
2002-12,63.108,
2003-01,71.670,
2003-02,75.268,
2003-03,81.714,
2003-04,85.533,
2003-05,83.138,
2003-06,80.551,
2003-07,86.536,
2003-08,81.834,
2003-09,78.892,
2003-10,83.094,
2003-11,77.875,
2003-12,73.340,
2004-01,81.628,
2004-02,82.788,
2004-03,84.161,
2004-04,84.457,
2004-05,81.798,
2004-06,81.644,
2004-07,83.422,
2004-08,82.704,
2004-09,84.429,
2004-10,86.906,
2004-11,82.153,
2004-12,74.128,
2005-01,80.153,
2005-02,82.312,
2005-03,83.952,
2005-04,81.780,
2005-05,82.855,
2005-06,80.913,
2005-07,81.721,
2005-08,77.030,
2005-09,82.405,
2005-10,79.627,
2005-11,81.035,
2005-12,73.591,
2006-01,80.144,
2006-02,81.466,
2006-03,82.220,
2006-04,80.675,
2006-05,80.845,
2006-06,81.325,
2006-07,78.060,
2006-08,78.051,
2006-09,83.613,
2006-10,84.784,
2006-11,84.168,
2006-12,74.843,
2007-01,83.397,
2007-02,87.898,
2007-03,87.070,
2007-04,85.960,
2007-05,84.771,
2007-06,82.819,
2007-07,82.909,
2007-08,86.595,
2007-09,88.473,
2007-10,96.542,
2007-11,88.819,
2007-12,80.883,
2008-01,94.245,
2008-02,91.813,
2008-03,90.729,
2008-04,94.097,
2008-05,88.735,
2008-06,84.230,
2008-07,85.541,
2008-08,82.563,
2008-09,84.429,
2008-10,82.417,
2008-11,80.139,
2008-12,77.307,
2009-01,81.920,
2009-02,86.267,
2009-03,90.584,
2009-04,89.053,
2009-05,87.717,
2009-06,90.643,
2009-07,90.883,
2009-08,88.839,
2009-09,87.729,
2009-10,89.545,
2009-11,86.229,
2009-12,81.683,
2010-01,77.834,
2010-02,79.770,
2010-03,84.525,
2010-04,84.367,
2010-05,84.163,
2010-06,82.302,
2010-07,85.541,
2010-08,85.248,
2010-09,92.110,
2010-10,91.149,
2010-11,90.593,
2010-12,81.325,
2011-01,89.069,
2011-02,90.632,
2011-03,86.293,
2011-04,86.701,
2011-05,87.418,
2011-06,85.513,
2011-07,86.152,
2011-08,88.953,
2011-09,85.788,
2011-10,92.131,
2011-11,87.266,
2011-12,84.138,
2012-01,85.451,
2012-02,88.668,
2012-03,98.748,
2012-04,93.788,
2012-05,94.323,
2012-06,100.342,
2012-07,104.014,
2012-08,100.207,
2012-09,102.817,
2012-10,102.062,
2012-11,103.464,
2012-12,97.395,
2013-01,102.266,
2013-02,101.179,
2013-03,103.714,
2013-04,101.691,
2013-05,98.979,
2013-06,99.196,
2013-07,96.201,
2013-08,95.415,
2013-09,102.371,
2013-10,105.658,
2013-11,104.889,
2013-12,102.216,
2014-01,106.956,
2014-02,102.594,
2014-03,110.367,
2014-04,109.468,
2014-05,114.921,
2014-06,105.840,
2014-07,109.402,
2014-08,111.205,
2014-09,110.916,
2014-10,108.905,
2014-11,102.251,
2014-12,95.577,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
