"",BBK01.OEAE31P,BBK01.OEAE31P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:15,
2002-01,1.356,
2002-04,1.366,
2002-07,1.366,
2002-10,1.406,
2003-01,1.459,
2003-04,1.469,
2003-07,1.505,
2003-10,1.538,
2004-01,1.531,
2004-04,1.589,
2004-07,1.633,
2004-10,1.666,
2005-01,1.621,
2005-04,1.640,
2005-07,1.636,
2005-10,1.589,
2006-01,1.567,
2006-04,1.553,
2006-07,1.538,
2006-10,1.526,
2007-01,1.506,
2007-04,1.503,
2007-07,1.501,
2007-10,1.433,
2008-01,1.410,
2008-04,1.413,
2008-07,1.412,
2008-10,1.420,
2009-01,0.947,
2009-04,1.094,
2009-07,1.096,
2009-10,1.177,
2010-01,1.116,
2010-04,1.202,
2010-07,1.206,
2010-10,1.206,
2011-01,1.313,
2011-04,1.305,
2011-07,1.325,
2011-10,1.290,
2012-01,1.270,
2012-04,1.318,
2012-07,1.356,
2012-10,1.397,
2013-01,1.425,
2013-04,1.450,
2013-07,1.434,
2013-10,1.445,
2014-01,1.451,
2014-04,1.431,
2014-07,1.440,
