"",BBK01.OEHO05L,BBK01.OEHO05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:54,
2002-01,0.034,
2002-04,0.032,
2002-07,0.039,
2002-10,0.632,
2003-01,0.024,
2003-04,0.022,
2003-07,0.034,
2003-10,0.556,
2004-01,0.017,
2004-04,0.017,
2004-07,0.022,
2004-10,0.541,
2005-01,0.017,
2005-04,0.017,
2005-07,0.035,
2005-10,0.500,
2006-01,0.033,
2006-04,0.019,
2006-07,0.032,
2006-10,0.494,
2007-01,0.027,
2007-04,0.029,
2007-07,0.041,
2007-10,0.474,
2008-01,0.031,
2008-04,0.032,
2008-07,0.042,
2008-10,0.437,
2009-01,0.033,
2009-04,0.033,
2009-07,0.039,
2009-10,0.405,
2010-01,0.021,
2010-04,0.024,
2010-07,0.031,
2010-10,0.386,
2011-01,0.023,
2011-04,0.027,
2011-07,0.031,
2011-10,0.355,
2012-01,0.025,
2012-04,0.025,
2012-07,0.033,
2012-10,0.295,
2013-01,0.027,
2013-04,0.021,
2013-07,0.025,
2013-10,0.238,
2014-01,0.029,
2014-04,0.031,
2014-07,0.029,
