"",BBFN1.M.DE.N.1.L.KY.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KY.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Cayman Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:17,
1982-09,0.176,
1982-10,0.075,
1982-11,0.076,
1982-12,0.075,
1983-01,0.076,
1983-02,0.076,
1983-03,0.074,
1983-04,0.074,
1983-05,0.072,
1983-06,0.072,
1983-07,0.070,
1983-08,0.070,
1983-09,0.074,
1983-10,0.005,
1983-11,0.006,
1983-12,0.007,
1984-01,0.006,
1984-02,0.005,
1984-03,0.006,
1984-04,0.006,
1984-05,0.006,
1984-06,0.006,
1984-07,0.005,
1984-08,0.005,
1984-09,0.018,
1984-10,0.018,
1984-11,0.016,
1984-12,0.017,
1985-01,0.016,
1985-02,0.016,
1985-03,0.016,
1985-04,0.017,
1985-05,0.015,
1985-06,0.015,
1985-07,0.014,
1985-08,0.013,
1985-09,0.014,
1985-10,0.014,
1985-11,0.013,
1985-12,0.013,
1986-01,0.013,
1986-02,0.013,
1986-03,0.013,
1986-04,0.013,
1986-05,0.002,
1986-06,0.002,
1986-07,0.002,
1986-08,0.002,
1986-09,0.002,
1986-10,0.002,
1986-11,0.001,
1986-12,0.015,
1987-01,0.015,
1987-02,0.015,
1987-03,0.015,
1987-04,0.015,
1987-05,0.015,
1987-06,0.019,
1987-07,0.018,
1987-08,.,No value available
1987-09,0.017,
1987-10,0.017,
1987-11,0.017,
1987-12,0.022,
1988-01,0.022,
1988-02,0.022,
1988-03,0.022,
1988-04,0.018,
1988-05,0.018,
1988-06,0.018,
1988-07,0.018,
1988-08,0.017,
1988-09,0.022,
1988-10,0.022,
1988-11,0.024,
1988-12,0.023,
1989-01,0.023,
1989-02,0.022,
1989-03,0.022,
1989-04,0.022,
1989-05,0.022,
1989-06,0.025,
1989-07,0.025,
1989-08,0.025,
1989-09,0.025,
1989-10,0.025,
1989-11,0.025,
1989-12,0.011,
1990-01,0.011,
1990-02,0.011,
1990-03,0.030,
1990-04,0.030,
1990-05,0.030,
1990-06,0.030,
1990-07,0.030,
1990-08,0.030,
1990-09,0.030,
1990-10,0.030,
1990-11,0.032,
1990-12,0.065,
1991-01,0.059,
1991-02,0.152,
1991-03,0.156,
1991-04,0.159,
1991-05,0.160,
1991-06,0.158,
1991-07,0.157,
1991-08,0.157,
1991-09,0.157,
1991-10,0.192,
1991-11,0.192,
1991-12,0.192,
1992-01,0.191,
1992-02,0.194,
1992-03,0.193,
1992-04,0.194,
1992-05,0.140,
1992-06,0.119,
1992-07,0.119,
1992-08,0.119,
1992-09,0.117,
1992-10,0.109,
1992-11,0.066,
1992-12,0.108,
1993-01,0.112,
1993-02,0.112,
1993-03,0.112,
1993-04,0.111,
1993-05,0.112,
1993-06,0.115,
1993-07,0.115,
1993-08,0.115,
1993-09,0.114,
1993-10,0.099,
1993-11,0.100,
1993-12,0.100,
1994-01,0.106,
1994-02,0.105,
1994-03,0.105,
1994-04,0.105,
1994-05,0.085,
1994-06,0.084,
1994-07,0.105,
1994-08,0.103,
1994-09,0.083,
1994-10,0.086,
1994-11,0.086,
1994-12,0.085,
1995-01,0.100,
1995-02,0.120,
1995-03,0.118,
1995-04,0.109,
1995-05,0.111,
1995-06,0.110,
1995-07,0.110,
1995-08,0.091,
1995-09,0.090,
1995-10,0.074,
1995-11,0.075,
1995-12,0.077,
1996-01,0.067,
1996-02,0.067,
1996-03,0.067,
1996-04,0.067,
1996-05,0.067,
1996-06,0.052,
1996-07,0.036,
1996-08,0.036,
1996-09,0.039,
1996-10,0.039,
1996-11,0.039,
1996-12,0.040,
1997-01,0.040,
1997-02,0.036,
1997-03,0.032,
1997-04,0.032,
1997-05,0.032,
1997-06,0.033,
1997-07,0.033,
1997-08,0.034,
1997-09,0.034,
1997-10,0.032,
1997-11,0.033,
1997-12,0.033,
1998-01,0.044,
1998-02,0.054,
1998-03,0.055,
1998-04,0.054,
1998-05,0.054,
1998-06,0.052,
1998-07,0.052,
1998-08,0.091,
1998-09,0.090,
1998-10,0.043,
1998-11,0.043,
1998-12,0.044,
1999-01,0.043,
1999-02,0.044,
1999-03,0.046,
1999-04,0.046,
1999-05,0.044,
1999-06,0.044,
1999-07,0.027,
1999-08,0.027,
1999-09,0.027,
1999-10,0.027,
1999-11,0.027,
1999-12,.,No value available
2000-01,.,No value available
2000-02,.,No value available
2000-03,0.059,
2000-04,0.058,
2000-05,0.058,
2000-06,0.058,
2000-07,0.059,
2000-08,0.059,
2000-09,0.059,
2000-10,0.058,
2000-11,0.058,
2000-12,0.058,
2001-01,0.058,
2001-02,0.058,
2001-03,0.059,
2001-04,0.058,
2001-05,0.058,
2001-06,0.058,
2001-07,0.058,
2001-08,0.058,
2001-09,0.057,
2001-10,0.058,
2001-11,0.058,
2001-12,0.058,
2002-01,0.058,
2002-02,0.057,
2002-03,0.057,
2002-04,0.083,
2002-05,0.084,
2002-06,0.084,
2002-07,0.083,
2002-08,0.083,
2002-09,0.083,
2002-10,0.083,
2002-11,0.083,
2002-12,0.084,
2003-01,0.084,
2003-02,0.083,
2003-03,0.083,
2003-04,0.097,
2003-05,0.097,
2003-06,0.105,
2003-07,0.653,
2003-08,0.630,
2003-09,0.631,
2003-10,0.506,
2003-11,0.506,
2003-12,0.488,
2004-01,0.448,
2004-02,0.448,
2004-03,0.449,
2004-04,0.448,
2004-05,0.449,
2004-06,0.449,
2004-07,0.449,
2004-08,0.450,
2004-09,0.450,
2004-10,0.399,
2004-11,0.400,
2004-12,0.378,
2005-01,0.377,
2005-02,0.357,
2005-03,0.358,
2005-04,0.358,
2005-05,0.358,
2005-06,0.333,
2005-07,0.332,
2005-08,0.332,
2005-09,0.307,
2005-10,0.307,
2005-11,0.307,
2005-12,0.306,
2006-01,0.281,
2006-02,0.281,
2006-03,0.281,
2006-04,0.281,
2006-05,0.281,
2006-06,0.312,
2006-07,0.312,
2006-08,0.312,
2006-09,0.312,
2006-10,0.313,
2006-11,0.513,
2006-12,0.553,
2007-01,0.551,
2007-02,0.553,
2007-03,0.574,
2007-04,0.317,
2007-05,0.317,
2007-06,0.318,
2007-07,0.318,
2007-08,0.476,
2007-09,0.428,
2007-10,0.405,
2007-11,0.403,
2007-12,0.388,
2008-01,1.127,
2008-02,1.225,
2008-03,1.211,
2008-04,1.252,
2008-05,1.274,
2008-06,1.292,
2008-07,1.348,
2008-08,1.373,
2008-09,1.371,
2008-10,1.388,
2008-11,1.458,
2008-12,1.252,
2009-01,1.299,
2009-02,1.515,
2009-03,1.484,
2009-04,1.645,
2009-05,1.652,
2009-06,1.570,
2009-07,1.698,
2009-08,1.761,
2009-09,1.760,
2009-10,1.753,
2009-11,1.770,
2009-12,1.599,
2010-01,1.578,
2010-02,1.561,
2010-03,1.529,
2010-04,1.563,
2010-05,1.515,
2010-06,1.537,
2010-07,1.538,
2010-08,1.543,
2010-09,1.571,
2010-10,1.550,
2010-11,1.565,
2010-12,1.632,
2011-01,1.641,
2011-02,1.708,
2011-03,1.684,
2011-04,1.732,
2011-05,1.714,
2011-06,1.779,
2011-07,1.897,
2011-08,2.010,
2011-09,2.001,
2011-10,1.271,
