"",BBFB1.Q.N.DE.SI.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:49,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-0.038,
1992-10,-,Nothing exists
1993-01,-0.010,
1993-04,-0.237,
1993-07,-0.051,
1993-10,-0.169,
1994-01,-0.005,
1994-04,-0.128,
1994-07,-0.008,
1994-10,-0.281,
1995-01,-0.124,
1995-04,-0.780,
1995-07,0.278,
1995-10,-0.171,
1996-01,-0.407,
1996-04,-0.185,
1996-07,-0.177,
1996-10,0.332,
1997-01,0.246,
1997-04,-0.310,
1997-07,-0.032,
1997-10,0.127,
1998-01,-0.047,
1998-04,0.442,
1998-07,-0.050,
1998-10,-,Nothing exists
1999-01,-0.184,
1999-04,8.545,
1999-07,-0.486,
1999-10,-0.933,
2000-01,-1.082,
2000-04,-0.129,
2000-07,-0.051,
2000-10,-0.111,
2001-01,-0.372,
2001-04,-1.026,
2001-07,22.900,
2001-10,-0.259,
2002-01,1.130,
2002-04,0.034,
2002-07,-,Nothing exists
2002-10,-0.110,
2003-01,-0.097,
2003-04,-1.599,
2003-07,-0.023,
2003-10,4.204,
2004-01,-0.018,
2004-04,1.813,
2004-07,-0.077,
2004-10,-,Nothing exists
2005-01,-4.621,
2005-04,-0.496,
2005-07,-0.041,
2005-10,-0.068,
2006-01,-0.056,
2006-04,-,Nothing exists
2006-07,-0.029,
2006-10,-0.141,
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-0.051,
2007-10,4.889,
2008-01,-,Nothing exists
2008-04,-0.013,
2008-07,-,Nothing exists
2008-10,0.061,
2009-01,-0.029,
2009-04,-0.030,
2009-07,-0.013,
2009-10,-,Nothing exists
2010-01,-0.030,
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,0.045,
2011-01,-,Nothing exists
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,-,Nothing exists
2012-04,0.040,
2012-07,-0.041,
2012-10,3.745,
2013-01,20.000,
2013-04,317.000,
2013-07,48.000,
2013-10,21.000,
2014-01,21.000,Provisional value
2014-04,5.000,Provisional value
2014-07,0.000,Provisional value
2014-10,-3.000,Provisional value
