"",BBK01.OECB24V,BBK01.OECB24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:29,
2002-01,1.404,
2002-04,1.410,
2002-07,1.457,
2002-10,1.460,
2003-01,1.485,
2003-04,1.512,
2003-07,1.516,
2003-10,1.548,
2004-01,1.588,
2004-04,1.592,
2004-07,1.633,
2004-10,1.656,
2005-01,1.930,
2005-04,1.884,
2005-07,1.885,
2005-10,1.804,
2006-01,1.739,
2006-04,1.405,
2006-07,1.403,
2006-10,1.374,
2007-01,1.334,
2007-04,1.261,
2007-07,1.216,
2007-10,1.132,
2008-01,1.084,
2008-04,1.062,
2008-07,0.938,
2008-10,0.919,
2009-01,0.894,
2009-04,0.887,
2009-07,0.862,
2009-10,0.703,
2010-01,0.716,
2010-04,0.711,
2010-07,1.021,
2010-10,1.024,
2011-01,1.005,
2011-04,0.919,
2011-07,0.830,
2011-10,0.808,
2012-01,0.787,
2012-04,0.720,
2012-07,0.671,
2012-10,0.651,
2013-01,0.584,
2013-04,0.540,
2013-07,0.505,
2013-10,0.486,
2014-01,0.472,
2014-04,0.426,
2014-07,0.373,
