"",BBK01.OEAH40P,BBK01.OEAH40P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:38,
2002-01,0.078,
2002-04,0.076,
2002-07,0.079,
2002-10,0.084,
2003-01,0.088,
2003-04,0.095,
2003-07,0.096,
2003-10,0.109,
2004-01,0.107,
2004-04,0.101,
2004-07,0.104,
2004-10,0.103,
2005-01,0.104,
2005-04,0.101,
2005-07,0.099,
2005-10,0.106,
2006-01,0.098,
2006-04,0.097,
2006-07,0.088,
2006-10,0.087,
2007-01,0.088,
2007-04,0.078,
2007-07,0.083,
2007-10,0.078,
2008-01,0.073,
2008-04,0.073,
2008-07,0.074,
2008-10,0.082,
2009-01,0.082,
2009-04,0.070,
2009-07,0.089,
2009-10,0.063,
2010-01,0.067,
2010-04,0.071,
2010-07,0.068,
2010-10,0.074,
2011-01,0.081,
2011-04,0.071,
2011-07,0.071,
2011-10,0.071,
2012-01,0.070,
2012-04,0.072,
2012-07,0.083,
2012-10,0.093,
2013-01,0.103,
2013-04,0.107,
2013-07,0.107,
2013-10,0.112,
2014-01,0.108,
2014-04,0.114,
2014-07,0.110,
