"",BBFB1.Q.N.DE.SE.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:41,
1991-01,130.492,
1991-04,107.611,
1991-07,139.636,
1991-10,144.161,
1992-01,68.218,
1992-04,90.053,
1992-07,33.758,
1992-10,28.600,
1993-01,135.825,
1993-04,113.552,
1993-07,161.517,
1993-10,84.798,
1994-01,-16.994,
1994-04,-46.821,
1994-07,5.177,
1994-10,4.885,
1995-01,290.080,
1995-04,274.019,
1995-07,323.542,
1995-10,389.832,
1996-01,-8.478,
1996-04,13.818,
1996-07,22.597,
1996-10,-15.826,
1997-01,88.078,
1997-04,120.887,
1997-07,130.769,
1997-10,-425.745,
1998-01,109.297,
1998-04,149.408,
1998-07,112.988,
1998-10,68.396,
1999-01,-2.789,
1999-04,34.013,
1999-07,108.005,
1999-10,-5.192,
2000-01,395.339,
2000-04,599.797,
2000-07,460.268,
2000-10,-195.323,
2001-01,107.142,
2001-04,69.837,
2001-07,89.365,
2001-10,102.669,
2002-01,87.363,
2002-04,55.790,
2002-07,45.522,
2002-10,54.950,
2003-01,184.859,
2003-04,196.136,
2003-07,191.731,
2003-10,184.410,
2004-01,49.641,
2004-04,-11.348,
2004-07,20.776,
2004-10,18.198,
2005-01,263.881,
2005-04,221.763,
2005-07,274.488,
2005-10,305.904,
2006-01,300.757,
2006-04,121.925,
2006-07,237.698,
2006-10,259.549,
2007-01,368.956,
2007-04,-43.653,
2007-07,348.818,
2007-10,421.414,
2008-01,1233.802,
2008-04,-84.238,
2008-07,181.794,
2008-10,697.868,
2009-01,427.376,
2009-04,195.384,
2009-07,446.486,
2009-10,400.723,
2010-01,59.520,
2010-04,-152.688,
2010-07,-58.901,
2010-10,-1.805,
2011-01,695.922,
2011-04,607.234,
2011-07,771.566,
2011-10,777.673,
2012-01,674.565,
2012-04,506.839,
2012-07,579.035,
2012-10,538.699,
2013-01,413.265,
2013-04,160.581,
2013-07,388.378,
2013-10,405.225,
2014-01,363.818,Provisional value
2014-04,148.362,Provisional value
2014-07,275.114,Provisional value
