"",BBK01.OEAB22Q,BBK01.OEAB22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:13,
2002-01,0.567,
2002-04,0.215,
2002-07,0.155,
2002-10,0.485,
2003-01,0.511,
2003-04,0.490,
2003-07,0.735,
2003-10,0.566,
2004-01,0.967,
2004-04,0.952,
2004-07,0.843,
2004-10,0.639,
2005-01,0.778,
2005-04,0.868,
2005-07,0.798,
2005-10,0.828,
2006-01,1.121,
2006-04,1.195,
2006-07,0.875,
2006-10,0.687,
2007-01,0.592,
2007-04,0.420,
2007-07,0.395,
2007-10,0.270,
2008-01,0.350,
2008-04,0.387,
2008-07,0.311,
2008-10,0.268,
2009-01,0.461,
2009-04,0.426,
2009-07,0.790,
2009-10,0.273,
2010-01,0.345,
2010-04,0.694,
2010-07,0.290,
2010-10,0.210,
2011-01,0.362,
2011-04,0.343,
2011-07,0.528,
2011-10,0.254,
2012-01,0.273,
2012-04,0.580,
2012-07,0.380,
2012-10,0.548,
2013-01,0.602,
2013-04,0.693,
2013-07,0.652,
2013-10,0.481,
2014-01,0.573,
2014-04,0.673,
2014-07,0.651,
