"",BBK01.OEAD05S,BBK01.OEAD05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:49,
2002-01,0.223,
2002-04,0.193,
2002-07,0.180,
2002-10,0.194,
2003-01,0.195,
2003-04,0.166,
2003-07,0.159,
2003-10,0.151,
2004-01,0.150,
2004-04,0.148,
2004-07,0.147,
2004-10,0.139,
2005-01,0.141,
2005-04,0.139,
2005-07,0.134,
2005-10,0.128,
2006-01,0.138,
2006-04,0.134,
2006-07,0.119,
2006-10,0.106,
2007-01,0.111,
2007-04,0.109,
2007-07,0.110,
2007-10,0.106,
2008-01,0.108,
2008-04,0.111,
2008-07,0.118,
2008-10,0.124,
2009-01,0.128,
2009-04,0.128,
2009-07,0.138,
2009-10,0.137,
2010-01,0.141,
2010-04,0.148,
2010-07,0.146,
2010-10,0.149,
2011-01,0.156,
2011-04,0.165,
2011-07,0.164,
2011-10,0.152,
2012-01,0.157,
2012-04,0.147,
2012-07,0.144,
2012-10,0.142,
2013-01,0.138,
2013-04,0.150,
2013-07,0.153,
2013-10,0.140,
2014-01,0.134,
2014-04,0.139,
2014-07,0.166,
