"",BBEX3.M.MKD.EUR.CA.AB.A01,BBEX3.M.MKD.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Macedonia  / EUR 1 = MKD ... (selling),
unit,MKD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:08,
2006-01,61.7200,
2006-02,61.4900,
2006-03,61.4713,
2006-04,61.4770,
2006-05,61.4900,
2006-06,61.4800,
2006-07,61.4681,
2006-08,61.4729,
2006-09,61.5029,
2006-10,61.4800,
2006-11,61.4827,
2006-12,61.5000,
2007-01,61.5200,
2007-02,61.4832,
2007-03,61.4733,
2007-04,61.4679,
2007-05,61.4980,
2007-06,61.4767,
2007-07,61.4716,
2007-08,61.4775,
2007-09,61.5000,
2007-10,61.4880,
2007-11,61.6000,
2007-12,61.5076,
2008-01,61.7311,
2008-02,61.5400,
2008-03,61.5727,
2008-04,61.6925,
2008-05,61.4730,
2008-06,61.4800,
2008-07,61.4938,
2008-08,61.4700,
2008-09,61.4747,
2008-10,61.7169,
2008-11,61.7100,
2008-12,61.7194,
2009-01,61.7200,
2009-02,61.7200,
2009-03,61.7206,
2009-04,61.7186,
2009-05,61.7199,
2009-06,61.4700,
2009-07,61.4763,
2009-08,61.4820,
2009-09,61.4800,
2009-10,61.4800,
2009-11,61.4800,
2009-12,61.4791,
2010-01,61.6741,
2010-02,61.8133,
2010-03,61.8276,
2010-04,61.8706,
2010-05,61.8100,
2010-06,61.8544,
2010-07,61.8150,
2010-08,61.8893,
2010-09,61.9445,
2010-10,61.8804,
2010-11,61.8119,
2010-12,61.8125,
2011-01,61.8125,
2011-02,61.8125,
2011-03,61.8238,
2011-04,61.8201,
2011-05,61.9222,
2011-06,61.9281,
2011-07,61.9109,
2011-08,61.8138,
2011-09,61.8115,
2011-10,61.8125,
2011-11,61.8190,
2011-12,61.8125,
2012-01,61.8125,
2012-02,61.8075,
2012-03,61.8125,
2012-04,61.8378,
2012-05,61.8891,
2012-06,61.9403,
2012-07,61.8257,
2012-08,61.8088,
2012-09,61.8083,
2012-10,61.8069,
2012-11,61.8079,
2012-12,61.8075,
2013-01,61.8187,
2013-02,61.9264,
2013-03,61.9234,
2013-04,61.9557,
2013-05,61.9608,
2013-06,61.9905,
2013-07,61.8209,
2013-08,61.8144,
2013-09,61.8079,
2013-10,61.8150,
2013-11,61.8332,
2013-12,61.8189,
2014-01,61.9934,
2014-02,61.9942,
2014-03,62.0095,
2014-04,61.9865,
2014-05,61.9843,
2014-06,61.9934,
2014-07,61.8125,
2014-08,61.8046,
2014-09,61.9617,
2014-10,61.9540,
2014-11,62.0035,
2014-12,61.7888,
2015-01,61.8370,
"","General: On 8 April 1993, Macedonia was admitted to the United Nations under the temporary designation ""Former Yugoslavian Republic of Macedonia""; this designation is in use within the European Union until further notice.",
"","Source: National Bank of the Republic of Macedonia, Skopje",
